"","date","and.mail","anglija.lt","animal.print.wallpaper","aptana.studio","benefity.w.uk","bikram.yoga.manchester","blogger.blogs","bodywise","border.agency","bristol.evening.post","broken.laptops","cake.courses","cancer.network","cheap.mots","children.centre.jobs","club.visa","cracked.com","credit.management","cupcake.company","cupcake.shops","custom.wordpress","design.blogs","dieline","dove.spa","easy.as.hgv","electrician.jobs","enzoani","fabric.inspirations","free.wordpress.themes","geek.glasses","geeky.glasses","get.my.website.on.google","good.run","government.vacancies","guard.jobs","hairandbeautyjobs","hopital","how.to.get.a.crb.check","impact.level","income.based","independent.review","jewellery.blog","jewellery.school","job.is","job.seekers","jobrapido","jobs.in.berkshire","jobs.in.crawley.west.sussex","jobs.in.halifax.west.yorkshire","jquery.bind","jquery.plugin","keepmoat.homes","labourer.jobs.in.london","light.in.a.box","ltv.mortgages","makeuseof","mckinsey.quarterly","mobile.selling","muscle.fuel","napp","naruto.wiki","nerd.glasses","netmums","nhs.information","nursing.diploma","official.guide","pedal.studio","perfection.bridal","phd.pharma","phone.selling","priority.club.visa","ptlls","purple.wedding.flowers","quality.inn.international","reader","redundancy.insurance","rubicon.people","security.jobs.in.glasgow","sell.a.mobile","sharethis","simply.childcare","skyhome","soaked.in.luxury","sound.converter","text.check","the.best.protein.shake","tiger.insurance","twitter.feeds","twitter.icons","twitter.widget","uk.border.agency","uk.border","unemployed.in.uk","unemployed","usn.muscle.fuel.anabolic","usn.muscle.fuel","virgin.finance","welsh.football.trust","winsford.lifestyle.centre","www.totaljobs.com","xenapp","xogogo","zebra.print.wallpaper","X10.cake","active.london","after.redundancy","alfa.romeo.mito","anyone.have","ask.a.lawyer","b4busty","bam.construct","been.made.redundant","being.made.redundant","bridgend.property","can.i.be.made.redundant","capital.plus","changing.the.world","cheap.baby","chichester.jobs","citysocialising","claim.jobseekers.allowance","claiming.job.seekers","claiming.redundancy","class.fitness","community.treatment.order","consultation.period","consultation.redundancy","corporate.bond.funds","corporate.bond.index","crazy.events","cut.jobs","darling.clothing","debt.support","direct.gov.uk","directgov.com","downturn","driving.jobs.in.kent","economic.downturn","ehow","enduro.news","esxi.server","facing.redundancy","fashion.internships","fonesafe","gb.oils","give.me.a.call","goal.centre","good.agency","government.payment","guarantee.pay","guardian.home.exchange","help.for.small.business","home.option","hospitals.bristol","hotel.smithfield","housing.benefits","how.much.income.support","how.much.is.unemployment","how.to.calculate.redundancy","i.have.been.made.redundant","i.love.my.bear","job.losses.uk","job.losses","jobcentre.plus","jobcentre","jobs.at.morrisons","jobseeker.allowance","kfc.coupons","king.careers","laid.off","lay.off","laying.off","layoff","layoffs","liberty.leasing","live.messenger.sign.in","lloyds.tsb.international","lloyds.tsb.phone","losses","lotc","ltv","made.redundant","making.redundancies","making.someone.redundant","maldron.hotel.smithfield","meal.offers","mercedes.wiki","mortgage.variable.rate","nationwide.standard.variable.rate","netflights","nhs.stoke","notice.for.redundancy","nowgamer","oil.etf","orange.insurance","orange.phone.insurance","parkway.motors","patient.reported.outcome.measures","patient.reported.outcome","pay.cut","perceptive.informatics","pr.internships","pricegong","printing.money","react.funding","reasons.for.redundancy","redundancies.uk","redundancies","redundancy.consultation","redundancy.matrix","redundancy.meeting","redundancy.money","redundancy.pay.tax","redundancy.pay","redundancy.payout","redundant","restaurant.discounts","restaurant.offers","risk.of.redundancy","security.guard.jobs","security.jobs","shp.jobs","siemens.healthcare","signing.on","soccerpitch","standard.redundancy","star.now","supermarket.jobs","svr.mortgage","tattoo.machine","tax.band.f","tax.free.redundancy","the.cake.lady","trade.credit.insurance","uk.corporate.bonds","uk.job.losses","unilever.leatherhead","university.hospitals.bristol","variable.mortgage.rates","vector.stock","virgin.credit.card.application","voicemail.orange","voluntary.redundancy","weight.gainer","what.do.i.do.","www.hsbc.co.uk"
"1","2004-01-01",19,0,0,0,0,0,0,64,"1",89,0,0,51,0,51,37,0,57,0,0,0,0,0,0,0,34,0,0,0,0,0,0,16,70,46,0,71,0,0,22,86,0,100,37,24,0,73,0,0,0,0,0,0,0,0,0,26,36,22,83,0,0,2,57,32,69,0,0,0,29,0,0,0,72,94,81,0,0,0,0,0,0,0,77,10,0,33,0,0,0,0,7,0,72,0,28,28,0,0,45,0,0,0,18,44,40,0,23,0,0,0,0,42,50,0,39,29,95,48,0,36,0,99,14,0,0,0,39,0,0,0,0,0,0,0,12,0,24,9,15,0,0,76,0,0,0,0,38,0,0,0,0,0,43,67,53,0,0,0,0,38,43,13,9,21,28,0,0,0,52,22,0,76,22,0,0,53,9,37,90,16,20,0,0,0,0,0,0,0,14,64,0,0,45,11,0,0,0,0,0,0,78,0,34,0,0,32,21,0,0,0,58,0,16,0,58,0,27,0,63,23,0,0,28,0,0,25,21,20,0,0,0,0,100,0,0,0,0,19,0,0,21,19,24,39,0
"2","2004-02-01",16,0,0,0,0,96,24,46,"0",100,0,25,72,0,54,26,0,78,0,0,0,0,0,0,0,22,0,0,0,0,0,100,9,65,25,0,92,0,41,0,48,0,0,29,22,0,54,0,0,0,0,0,0,0,0,0,41,25,0,88,0,0,2,49,25,58,0,0,0,31,0,0,50,85,91,54,0,0,49,0,100,0,0,73,15,0,35,0,0,0,0,16,0,47,0,29,39,0,0,36,0,0,0,0,58,85,0,18,0,0,0,0,0,0,0,0,46,68,50,0,0,39,0,19,0,0,66,0,0,79,28,0,0,0,0,37,0,0,0,0,0,0,40,0,0,0,0,20,40,100,0,100,59,75,70,16,0,0,0,0,0,45,24,13,21,0,41,0,46,0,23,0,0,47,0,0,0,9,41,0,8,0,0,0,0,32,0,20,0,4,0,68,0,0,0,43,0,0,0,0,100,0,0,0,0,0,100,20,66,100,0,0,0,31,0,26,80,9,0,33,25,0,0,35,0,0,13,49,0,76,0,0,0,0,0,0,0,0,20,0,0,16,100,26,20,0
"3","2004-03-01",23,0,100,0,0,0,0,0,"0",47,82,20,43,0,65,31,0,36,0,0,0,0,100,0,0,32,0,0,0,0,0,0,42,78,59,0,65,0,100,0,58,0,96,34,26,0,58,0,0,0,0,0,0,0,0,0,100,23,0,91,0,0,0,73,40,100,0,0,0,37,0,0,61,81,87,52,0,0,59,0,60,0,0,68,37,0,42,0,0,0,0,17,81,30,0,0,36,0,0,100,0,0,100,0,69,0,0,36,0,0,0,0,0,0,0,100,37,62,17,0,0,47,0,12,0,0,47,100,0,0,0,0,0,0,0,15,85,30,11,0,0,0,49,0,0,0,0,0,0,0,100,0,70,54,0,43,0,0,0,0,0,0,13,12,20,35,100,0,0,0,0,0,65,28,0,0,100,0,62,0,20,17,0,0,0,38,0,12,0,5,100,0,0,0,58,0,0,0,0,34,0,100,0,0,0,0,0,17,47,0,0,0,0,26,0,34,0,11,0,40,26,0,0,49,0,100,0,20,0,0,0,100,0,64,100,0,0,0,24,0,0,26,72,31,49,0
"4","2004-04-01",16,0,0,0,0,0,23,0,"2",94,0,0,18,0,0,26,0,73,0,0,0,0,0,0,0,27,0,0,0,30,0,100,17,64,49,0,83,0,41,24,72,0,26,26,22,0,65,58,0,0,0,37,0,53,28,0,55,25,0,100,0,0,3,71,100,82,100,0,0,61,0,0,100,25,96,32,0,0,0,0,33,0,0,57,31,0,0,0,0,0,0,13,0,38,0,0,39,0,0,82,0,0,0,0,57,84,0,24,0,0,0,0,43,0,0,41,30,77,21,0,0,39,0,10,0,0,39,0,0,79,28,0,0,0,0,0,0,0,6,0,0,0,40,0,0,0,0,100,39,0,0,33,0,60,70,71,29,0,0,0,0,0,22,12,17,0,0,0,0,0,23,0,26,0,0,0,41,18,43,0,33,14,0,0,0,63,0,20,0,0,0,68,0,0,48,43,0,0,0,0,100,82,0,35,0,0,83,25,39,0,0,0,0,29,0,38,0,9,0,65,25,0,0,23,0,0,0,22,21,25,0,0,0,0,82,0,0,0,0,0,0,22,30,25,61,0
"5","2004-05-01",20,0,0,0,0,0,100,38,"1",78,58,29,53,0,91,33,0,77,0,0,0,0,0,0,0,23,0,0,0,0,0,0,15,78,42,0,88,0,35,0,66,0,67,23,20,0,60,0,0,0,0,0,0,0,24,0,0,27,0,53,0,55,3,32,71,62,0,0,0,26,0,0,0,100,89,73,0,0,41,0,84,0,0,48,22,0,0,0,0,0,0,11,38,43,0,0,67,0,0,60,0,0,0,0,39,36,0,20,0,0,0,0,0,89,0,70,77,67,36,0,0,0,0,16,0,34,78,0,0,0,0,0,69,0,0,21,59,21,0,0,0,0,0,0,0,0,0,51,100,0,0,0,0,76,60,30,25,0,0,0,0,39,9,10,16,37,52,0,39,0,0,0,23,20,0,0,24,23,28,0,21,12,0,100,0,53,0,9,0,7,28,0,0,39,41,0,97,0,0,24,84,0,0,0,0,0,42,18,78,0,0,0,0,30,0,34,0,24,0,28,29,0,0,19,0,0,0,32,0,53,0,69,0,0,0,41,0,0,17,0,0,18,25,43,43,0
"6","2004-06-01",18,0,0,0,0,0,0,75,"0",71,56,0,60,0,0,43,0,100,0,0,0,0,0,0,0,44,0,0,0,25,81,0,22,91,20,0,93,0,69,20,70,0,77,27,24,0,49,48,0,0,0,31,0,44,0,0,0,16,0,73,0,0,4,68,42,52,0,0,45,13,0,0,42,70,83,44,0,0,0,0,27,0,0,67,17,0,0,0,0,0,0,13,37,37,0,0,73,0,0,78,0,0,0,0,75,70,0,10,97,0,0,0,54,0,100,0,50,71,41,0,46,64,0,12,0,66,33,0,0,0,0,0,0,2,0,21,0,0,8,0,0,0,0,0,0,0,0,67,33,0,0,0,49,37,0,56,0,0,0,0,0,0,11,13,22,24,34,0,38,0,0,0,22,39,0,0,23,15,19,0,7,34,0,0,0,26,0,0,0,7,28,0,0,0,30,35,95,0,0,23,0,69,0,29,0,0,41,10,33,0,0,51,0,40,0,27,67,0,0,27,33,0,0,29,0,0,22,36,0,42,0,69,0,65,69,0,0,0,0,61,0,18,17,21,34,0
"7","2004-07-01",20,0,0,0,0,0,0,58,"0",81,0,36,62,0,46,45,0,78,0,0,0,0,71,0,0,31,0,0,0,26,0,0,15,95,42,0,100,0,36,0,83,0,0,25,21,0,66,100,0,0,0,32,0,0,0,0,71,32,0,86,0,56,2,80,29,46,86,0,0,20,0,0,0,65,89,55,0,0,42,0,28,0,0,49,26,0,0,0,0,0,0,12,38,31,0,0,85,0,0,91,0,0,0,0,49,0,0,31,100,0,0,0,37,0,0,0,52,95,31,0,32,100,0,0,0,0,45,0,0,0,0,73,0,2,0,0,0,0,0,0,0,0,0,0,0,52,0,17,51,0,0,28,50,26,60,24,0,0,100,0,0,39,11,17,23,0,35,0,39,0,20,0,0,20,0,0,24,8,29,0,18,12,0,51,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,29,18,45,0,0,0,0,27,100,63,69,24,0,28,29,0,78,59,0,0,11,33,0,22,0,71,0,45,0,42,0,0,0,0,0,19,34,22,0,0
"8","2004-08-01",19,0,0,0,0,0,20,38,"4",100,0,14,83,0,0,22,0,97,0,0,0,44,0,0,0,26,0,0,0,0,0,83,22,100,31,0,69,0,35,40,86,0,22,26,21,0,55,0,0,0,0,0,0,0,0,0,23,0,0,94,0,0,3,100,77,69,0,0,0,19,0,0,0,70,85,54,0,0,41,0,41,0,0,61,38,0,59,0,0,0,0,15,0,39,0,0,66,0,0,59,0,0,0,16,57,35,0,20,0,0,0,80,0,0,100,35,38,98,54,0,31,64,87,16,0,0,33,0,0,65,24,0,0,2,0,10,0,0,5,0,0,0,34,0,0,0,0,17,66,0,0,0,49,25,59,46,0,0,0,0,0,0,7,14,22,24,34,0,0,46,20,0,0,19,100,0,23,15,26,0,14,17,0,0,0,0,0,0,0,3,41,0,0,0,10,35,0,0,0,0,83,0,0,0,0,100,28,10,33,0,0,51,0,22,0,28,100,16,0,27,27,100,0,38,0,0,11,9,0,21,0,0,0,0,0,0,0,74,0,0,0,18,0,21,51,0
"9","2004-09-01",19,0,0,0,0,71,0,50,"0",61,100,44,73,0,40,19,0,61,0,0,0,39,0,0,0,33,0,0,0,0,0,75,6,41,18,0,74,0,31,35,72,0,79,36,19,0,66,0,57,0,0,0,0,40,0,0,41,19,17,65,0,49,4,72,81,50,0,0,0,23,0,0,0,69,91,40,0,0,73,0,0,0,0,66,8,0,51,0,0,0,0,15,100,33,0,43,44,0,0,53,0,0,0,14,51,31,0,13,0,0,0,0,33,0,0,0,46,67,32,0,0,29,76,7,0,0,20,0,0,58,0,0,59,0,0,9,51,0,18,0,0,0,30,0,0,0,0,59,30,0,62,24,43,44,0,35,22,0,0,0,0,0,13,12,21,21,0,0,0,0,0,41,0,0,0,0,31,7,38,0,15,15,0,44,0,23,0,0,0,9,74,0,0,0,18,31,0,0,0,21,0,0,0,26,0,0,24,11,20,0,0,0,0,30,0,51,0,21,0,48,19,0,0,17,0,0,10,24,0,37,0,0,95,39,61,0,0,0,0,0,100,20,37,38,23,0
"10","2004-10-01",20,0,31,0,0,0,0,34,"1",68,0,19,88,0,0,19,0,85,0,0,0,39,0,0,0,20,0,0,0,23,0,0,13,83,18,0,56,0,47,36,100,0,30,41,22,0,54,0,58,0,0,0,0,40,22,0,21,33,0,28,0,0,2,53,63,54,0,0,40,23,0,0,38,51,94,56,0,0,0,0,49,0,0,43,19,0,53,0,0,0,1,13,33,45,0,0,52,0,0,18,0,0,0,0,35,0,0,13,0,0,0,0,33,0,0,0,80,73,27,0,28,29,0,18,0,0,30,0,76,0,21,0,0,2,0,9,53,0,5,12,0,100,30,0,0,91,0,30,89,0,0,49,44,67,0,42,44,0,0,0,30,34,22,11,17,0,0,0,0,0,0,0,20,52,0,0,31,14,40,0,16,21,0,0,0,24,0,8,0,3,37,52,0,0,36,32,0,0,0,0,75,0,0,27,0,0,0,21,30,0,0,92,0,20,0,56,0,42,0,25,34,0,0,43,0,0,15,29,0,38,21,0,97,39,62,0,0,0,0,0,0,25,15,19,23,0
