"date","X20.代","X2ch.市況","X9619","a.worker","boj","chu.bura","credit.default","cs3.アンインストール","ds.ダービー.スタリオン","ds.ダビスタ","ds.ディスガイア","ds.ひぐらし","exchange.rate","fx.スプレッド.比較","fx.スプレッド","fx.プライム","fx.業者","iphone.japan","nikkei.online","psp.ソフト.ダウンロード","sbi.イー.トレード.証券","t.バック.大学","vista.セーフモード","vista.復元","yen.dollar.exchange","yen.dollar","アーマード.コア.sl","アクラ.ヴァシム","あつ.ひめ","あつ.姫","アベレイジ","アリアンツ","ありがとう.英語","アルルーナ.成長.日誌","アロハグ","アン.サイクロ","イートレード.証券.ログイン","いつか.この.手.が.穢.れる.時に","いつから","イラストレーター.cs3","インターバンク","インフレ.率","インフレ.金利","インフレ","ウェブ.チャンネル","ウォー.シップ.ガンナー.2.ポータブル","ウォール.ストリート.日記","え.ち.ぶろ","エヴァ.ま.ご","エクシズ.フォルス","エクシズ","エネルーピー","お.さぼり","お.ねえ.まんず","お.ま.家","お.酒","オイル.サーチャージ","おでこ","お互い","お金.かかる","お金","が.いい","が.痛い","かな.英語","カルカリアス","ギーク","キス.され.る","キス.の.流星","クリスタル.ベアラー.攻略","ケン.プラッツ","こ.そっと","コアダンス","ごはん.を.食べ.よう","コピー.10","コラテック","コンビニ","サイクロ.ペディア","サイバー.fx","サイバー.ドラゴン.ツヴァイ","サムライ.スピリッツ.六.番.勝負","サロン.系","じ.ょ.る.じ.ゅ","シソーダス","しゃ.ん.ぱら","しゃ.ん","ジョ.ブランド","シンフォニア.ラタトスク","スパイ.スイーパー","スプレッド.比較","セクター.別","センター.分け","ダービー.スタリオン.ds","ダウンロード.コミック","ダビング.10","ダビング.テン","ダビング","チャーチ.スト","チャート.fx","つか.ない","て.くる","で.り","ディスガイア.ds","テイルズ.オブ.シンフォニア.ラタトスク.の.騎士","テイルズ.オブ.シンフォニア.ラタトスク","デジ.造","デフレ.と.は","デフレ.対策","デフレ","と.ある.化学.の","と.ある.化学","どう.したら","どっち.が.いい","どっち.が","ドラゴンボール.レイジング.ブラスト.攻略","トラトラ.ゴールド","トラトラ","ニコニコ.cd","ニュージーランド.ドル.チャート","ヌーブラ.ヤッホー","ね.英語","ねこ.な.で","ネコナデ","の.あ.吉","は.ぴ.ふる","ハート.エイド","ハピフル","パン.パカ.パーティー","ハンス.ウルリッヒ.ルーデル","ハンス.ウルリッヒ","バンド.ブラザーズ.dx","ひぐらし.ds","ひぐらしのなく.頃.に.絆.第.一.巻.祟","ヒゲ.男爵","フード.マイレージ","ブイパス","ぶつけ.た","ブライアン.の.休日","プリマ.ステラ","プロサッカー.クラブ.を.つくろう.6.攻略","ボク.と.ホロ.の.一.年","ほっと.ダイレクト","ホット.ファズ","マネー.ポート","ムダ.ベストテン","メイク.落とし","メニュー","めんどくさい","も.る.す.ぁ","モグモグ.フ.ヨード","もり.すぎ","ユア.ファイル","ユニバーサル.バニー","よ.ぐね","ラスト.メンヘラー","ラタトクス","ラタトスク","ランチ.時間","り.から.始まる","リアルタイム.レート","リエトコート","ルーター.中継","レーサー.映画","レッド.リング","レプティレス.ナージャ","ローン.金利.動向","ロンドン.市場","一騎当千.great.guardians","三井.麻由","上.地.裕輔","上昇.率","上田.ハーロー","下.の.歯","世界.の.うめ.ざわ","世界.の.新着.動画","世界.の.新着","中国.银行","乙.aa","会.いたい.英語","似.てる","住宅.ローン.金利.動向","住宅.価格.指数","住宅.価格","住民.税.還付","何.ヶ月","何.する","何.口","何.回.も","何.回","何.歳.から","価格.高騰","倒産.危険.度.ランキング","値段","入っ.て.ない","入っ.てる","入塾","公務員.制度.改革.基本法","六.番.勝負","円.高.ドル.安","円.高.ドル","出.てる","北海道.サミット","北海道.洞爺.湖.サミット","北海道.洞爺.湖","単品.飲み.放題","原材料.高騰","原画.マン","友達.と","友達.の.親","友達.英語","口.周り","合う","喋る","国家.公務員.制度.改革.基本法","売っ.てる","変え.たい","変え","外し.方","外し","外汇.交易","外汇.牌价","外汇","外貨.普通.預金","外貨.預金.と.は","外貨.預金.円.高","外貨.預金.手数料","外貨.預金.銀行","外貨.預金","外貨","大.合奏.バンド.ブラザーズ.dx","大.吾郎.商店","大王.四.神.記","大王.四.神","天馬.の.道","太.王.四.神.記","太.王.四.神","太.王.四","太.王","奥歯","女子.に.人気","嬉しい.英語","安い","安く.て.美味しい","寝.てる","小川.忠洋","少女.魔法.学.リトル.ウィッチ.ロマネスク.editio.perfecta","山本.高弘","岡.兎.屋","市況","彼氏.の.家","忍.人","怒.られる","情報.ブック.オフ","愛.間.みるく","愛.間","投機.マネー","投機","方.が","日銀.政策.金利","日銀","早い","智代.編","本.石町.日記","東方.ピアノ","柔らかい","柔らかく","楽天.カード.支払い","歯.が.痛い","気持ち.悪く.なる","治す","治ら.ない","治る","泣く.夢","洞爺.湖.サミット","為替.ドット.コム","為替.ドット","為替.ニュース","為替.両替","為替.円","為替","無.担保.コール","燃料.価格","燃料.費","牌价","物価.上昇.率","物価.上昇","物価.高騰","物価高","狼.と.香辛料.ボク.と.ホロ.の.一.年","環境.モデル.都市","病院.面会.時間","病院.面会","痛く","目.が.小さい","目.が.細い","目尻","碧血.剣","神.夜","科学.技術.予算","絶対.チルドレン","美味しい.カフェ","美味しい.居酒屋","美男.時計","肩.が","腰.が.痛い","腰.が","花.より.男子.f","花.より.男子.ファイナル","落ち着く","言.われ.た","言.われる","赤.ニキビ","路地.裏.の.同人.書庫","返品.特約","迷う","連絡.なし","遅れる","酒.飲む.と","野村.ほっと.ダイレクト","野村.證券.ほっと","银行.汇率","間違え","関.塾.偏差.値","関.塾.独立.開業","面.長","面会.時間","頭.文字.d.エクストリーム.ステージ","頭.文字.d.エクストリーム","食べ.たら","食べ.れる","飲む","高騰","髪の毛","髭.男爵","魔界.戦記.ディスガイア.魔界.の.王子.と.赤い.月","鼻.の.下"
"2004-01-01",7,0,0,0,18,0,0,0,"0","0","0","0",59,0,0,0,0,0,0,0,0,0,0,"0",38,29,0,0,"0",0,0,19,5,0,0,0,0,0,3,0,25,36,0,20,97,"0",71,0,0,"0","0",0,"0","0",0,22,0,12,23,6,20,19,7,0,0,0,0,0,"0",0,0,0,0,9,0,21,50,"0",0,0,0,0,0,"0",42,100,"0",0,0,28,12,"0",30,"0",0,25,0,0,6,9,13,"0","0","0",0,11,33,39,0,0,11,11,8,0,0,21,0,59,0,0,0,"0",0,"0",0,0,0,10,0,"0","0",0,0,0,0,7,0,"0",0,0,0,0,47,0,14,15,3,0,"0",44,0,"0",0,0,"0","0",4,42,5,0,0,0,52,0,0,52,"0",0,0,44,0,17,0,0,0,9,0,0,5,0,0,57,13,2,16,0,4,13,0,0,0,20,8,13,0,0,0,34,0,2,0,"0",11,0,0,"0",8,0,7,6,9,18,0,6,18,27,15,31,0,41,23,95,0,38,0,64,37,32,"0",0,"0","0",0,"0",0,0,3,11,17,0,19,8,5,84,0,0,0,34,0,18,0,47,0,16,0,29,16,0,17,18,0,0,0,14,7,0,8,0,13,4,4,46,"0",15,14,26,12,65,33,19,13,54,30,34,0,0,0,0,0,18,17,5,23,0,12,0,13,0,0,19,0,"0",17,3,7,0,0,5,1,9,0,"0",0,30,0,20,0,0,0,0,15,"0",0,5,10,0,0,0,12,15,10,12,0,0,6
"2004-02-01",9,0,0,0,55,0,0,0,"0","0","0","0",26,0,0,0,0,0,0,0,0,0,0,"0",0,21,0,0,"0",0,0,0,4,0,0,0,0,0,1,0,100,15,41,22,50,"0",0,0,0,"0","0",0,"0","0",0,18,0,10,28,6,21,17,11,0,0,3,0,0,"0",0,0,25,0,0,0,22,51,"0",0,0,0,0,0,"0",37,0,"0",0,0,58,0,"0",26,"0",0,28,0,0,7,15,17,"0","0","0",0,7,0,11,0,0,16,6,11,0,0,32,0,0,0,6,0,"0",0,"0",0,0,0,20,9,"0","0",0,0,17,0,14,0,"0",0,0,0,0,0,0,7,14,5,0,"0",0,0,"0",0,0,"0","0",4,0,0,0,0,0,81,0,0,0,"0",0,0,15,0,0,0,0,0,24,0,0,4,0,41,48,14,7,12,0,4,10,2,6,42,20,11,7,6,0,0,17,38,1,5,"0",11,0,0,"0",4,0,7,12,10,9,0,7,9,27,20,30,0,21,28,0,0,40,0,35,29,29,"0",0,"0","0",0,"0",0,0,2,7,0,0,19,0,7,0,0,0,0,35,0,19,0,32,0,17,0,8,14,0,28,15,0,0,0,25,3,0,8,0,8,1,5,0,"0",15,15,20,6,51,32,19,0,0,21,70,64,0,0,0,0,15,18,6,24,0,16,0,20,43,0,15,14,"0",15,9,9,0,0,0,7,15,0,"0",0,10,12,3,0,0,0,0,8,"0",0,5,10,0,0,8,6,15,3,10,0,0,0
"2004-03-01",8,0,0,0,36,0,61,0,"0","0","0","0",50,0,0,0,0,0,77,0,0,0,0,"0",34,16,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,33,20,55,19,67,"0",0,0,0,"0","0",0,"0","0",0,16,0,6,16,17,17,13,7,0,0,0,0,0,"0",0,0,0,0,0,0,21,85,"0",0,0,54,0,0,"0",39,0,"0",0,0,0,0,"0",41,"0",0,26,39,0,2,12,17,"0","0","0",0,0,0,15,0,0,15,10,10,0,0,14,0,0,0,0,0,"0",0,"0",0,0,0,0,0,"0","0",0,0,0,0,0,0,"0",0,0,0,0,0,0,0,15,5,0,"0",0,0,"0",0,0,"0","0",0,0,0,0,0,0,89,0,52,24,"0",0,0,80,0,0,0,0,0,16,0,0,7,40,0,36,18,3,7,17,11,8,7,8,0,19,14,9,8,0,0,0,0,0,0,"0",7,0,34,"0",10,0,0,8,12,12,0,3,25,23,7,32,0,14,34,65,0,53,0,47,20,24,"0",0,"0","0",0,"0",0,0,2,10,0,19,20,0,7,0,0,0,0,52,0,62,0,43,0,0,0,0,13,0,24,16,0,0,0,23,4,0,5,0,7,2,3,32,"0",21,20,36,0,44,31,0,17,25,42,47,29,0,0,0,16,25,23,7,0,0,11,0,26,0,0,13,18,"0",17,0,8,0,0,8,0,0,0,"0",0,18,0,28,16,0,0,21,10,"0",0,4,20,0,0,5,8,17,14,18,0,0,0
"2004-04-01",11,19,0,0,27,0,0,0,"0","0","0","0",68,0,0,5,0,0,0,0,0,0,0,"0",26,15,0,0,"0",0,0,0,0,0,0,0,0,0,1,0,0,29,40,38,99,"0",0,0,0,"0","0",0,"0","0",100,17,0,7,24,13,16,12,10,0,0,0,0,0,"0",0,19,0,94,0,0,23,51,"0",0,0,0,0,0,"0",25,0,"0",0,0,29,0,"0",21,"0",0,30,0,0,10,10,17,"0","0","0",0,7,0,7,0,0,14,6,6,0,0,32,0,0,0,3,0,"0",0,"0",0,0,0,10,0,"0","0",0,0,0,0,7,0,"0",0,0,16,0,0,0,21,15,13,0,"0",0,0,"0",0,0,"0","0",0,0,0,0,0,49,54,0,39,18,"0",0,0,45,17,0,0,0,0,18,0,0,6,0,41,43,0,0,12,7,0,8,2,0,0,16,5,10,0,0,0,0,13,5,0,"0",8,0,0,"0",13,0,7,18,14,19,0,4,28,29,20,27,0,11,14,0,0,0,65,44,48,27,"0",0,"0","0",0,"0",0,0,2,15,17,15,19,0,5,0,0,0,0,41,0,47,7,0,0,17,0,45,15,0,24,13,0,0,25,12,10,0,4,13,8,1,5,0,"0",23,37,13,6,15,31,29,26,0,21,0,0,0,60,0,0,15,6,7,0,0,16,0,28,43,2,15,7,"0",15,9,10,0,0,11,1,9,0,"0",0,24,0,35,0,24,0,31,16,"0",0,8,10,0,0,12,13,12,3,7,0,0,6
"2004-05-01",8,23,0,0,15,0,0,0,"0","0","0","0",49,0,0,7,0,0,47,0,0,0,0,"0",42,12,0,0,"0",0,0,0,3,0,0,0,0,0,1,0,41,24,33,18,41,"0",0,0,0,"0","0",0,"0","0",0,11,0,8,23,13,16,11,10,18,0,1,30,0,"0",0,0,0,0,0,0,22,73,"0",0,0,33,0,0,"0",35,0,"0",0,0,0,0,"0",13,"0",0,24,0,5,9,7,15,"0","0","0",0,0,0,13,0,0,11,3,6,0,0,18,0,0,0,5,0,"0",0,"0",0,0,0,0,0,"0","0",0,55,14,0,0,0,"0",0,0,14,0,0,0,0,13,4,0,"0",0,0,"0",0,0,"0","1",3,0,19,0,0,0,33,0,48,44,"0",0,0,24,14,29,0,0,0,17,37,0,3,0,0,44,0,6,12,0,0,6,7,0,0,17,9,3,0,0,0,0,0,0,0,"0",13,0,0,"7",10,0,0,10,14,23,0,3,15,23,22,32,0,9,25,0,0,0,79,7,28,26,"0",0,"0","0",0,"0",0,0,1,5,0,0,19,0,1,0,0,0,0,54,13,30,11,26,0,14,0,31,17,26,19,16,0,0,0,8,10,0,3,0,9,1,4,39,"0",25,12,11,15,42,30,16,21,15,17,29,18,0,49,0,0,19,14,9,19,0,13,0,27,35,2,12,5,"0",14,7,8,0,0,5,5,5,0,"0",0,20,0,23,19,0,0,13,15,"0",0,0,20,0,0,3,9,18,3,10,0,0,5
"2004-06-01",10,14,0,0,21,0,71,0,"0","0","0","0",35,0,0,0,0,0,45,0,0,0,0,"0",40,30,0,0,"0",0,0,15,3,0,0,0,0,0,3,0,39,17,0,33,39,"0",0,0,0,"0","0",0,"0","0",0,16,0,12,15,15,17,16,9,0,0,1,29,0,"0",0,0,20,0,14,0,22,70,"0",0,0,0,0,0,"0",39,0,"0",0,0,23,0,"0",24,"0",0,26,23,0,8,9,12,"0","0","0",0,9,52,13,0,0,12,6,6,0,0,0,0,32,0,0,25,"0",0,"0",0,0,0,8,0,"0","0",0,0,39,0,5,0,"0",0,0,13,0,0,0,11,14,4,0,"0",0,0,"0",0,0,"0","0",3,0,7,0,18,0,42,0,30,0,"0",0,0,93,0,0,0,0,0,18,0,0,6,24,0,29,0,2,10,0,3,13,4,15,0,17,10,13,0,0,0,0,10,4,4,"0",13,0,0,"0",12,0,11,14,14,14,0,5,22,33,14,28,0,33,25,0,0,31,25,7,29,26,"0",0,"0","0",0,"0",0,0,0,13,0,0,19,13,4,0,0,40,0,32,0,36,10,25,0,53,0,18,17,25,27,16,0,0,0,13,5,0,3,0,9,2,6,0,"0",36,17,11,5,30,29,30,41,43,16,41,50,0,0,0,0,12,5,6,18,0,6,0,36,0,1,8,11,"0",21,7,7,0,0,4,1,2,11,"0",0,8,0,16,9,0,0,36,7,"0",0,4,4,0,0,0,5,18,12,11,0,0,10
"2004-07-01",9,29,0,0,50,0,0,0,"0","0","0","0",39,0,0,11,0,0,46,0,0,0,0,"0",20,19,0,0,"0",0,0,0,4,0,0,0,0,0,3,0,20,23,0,28,0,"0",0,0,0,"0","0",0,"11","0",78,16,0,5,28,5,16,18,9,0,0,2,0,0,"0",0,0,0,37,0,0,21,81,"0",0,0,63,0,0,"0",62,0,"0",0,0,0,0,"0",33,"0",0,17,0,0,7,9,15,"0","0","0",0,15,0,16,0,0,10,6,5,0,0,25,0,32,0,2,0,"0",0,"0",0,0,0,0,0,"0","0",0,0,26,0,0,0,"0",0,0,13,0,0,0,6,14,2,0,"0",0,0,"0",0,0,"0","0",6,0,7,0,0,0,84,0,92,14,"0",0,0,59,13,0,0,0,0,19,0,0,8,48,33,34,16,6,12,5,6,9,6,15,33,18,8,10,5,0,0,14,10,5,0,"0",15,0,20,"0",13,0,11,5,12,15,0,4,18,27,9,28,0,17,18,0,20,0,26,21,24,29,"0",0,"0","0",0,"0",0,0,1,16,0,0,19,27,5,0,0,0,0,33,25,15,0,0,0,13,13,24,14,25,43,21,0,0,0,23,5,0,9,0,9,3,5,0,"0",0,0,27,28,28,27,15,0,29,8,83,17,0,0,0,0,9,5,6,0,0,6,0,42,34,1,12,0,"0",16,5,7,0,0,13,1,2,0,"0",0,22,0,25,9,0,0,0,10,"0",0,2,15,0,0,3,8,23,9,6,0,0,10
"2004-08-01",8,14,0,0,14,0,70,0,"0","0","0","0",49,0,0,0,0,0,0,0,0,18,0,"0",20,14,0,0,"0",0,0,30,2,0,0,0,0,0,2,0,0,11,62,15,0,"0",0,0,0,"0","0",0,"0","0",0,16,0,8,27,10,18,15,10,0,0,0,0,0,"0",0,0,0,0,0,0,21,59,"0",0,0,61,0,0,"10",19,0,"0",0,0,0,0,"0",23,"0",0,25,0,0,5,7,13,"0","0","0",0,17,0,12,0,0,8,18,7,0,0,8,0,0,0,2,0,"0",32,"0",0,0,0,0,0,"0","0",0,0,13,0,0,0,"0",0,0,13,0,37,0,11,14,5,0,"0",34,0,"0",0,0,"0","0",3,0,4,0,0,0,51,0,74,0,"0",0,0,34,0,0,0,0,0,11,35,0,6,69,0,45,10,0,10,10,6,11,5,5,32,17,4,15,0,0,0,0,10,6,4,"0",19,0,0,"0",10,0,5,5,9,9,0,7,7,23,17,29,0,0,11,0,0,0,50,30,23,23,"0",0,"0","0",0,"0",0,0,0,13,13,0,18,0,4,0,0,0,0,33,12,14,5,25,0,45,0,17,14,0,19,14,0,0,0,13,5,0,3,0,7,7,5,0,"0",0,0,16,9,33,28,15,20,0,8,27,0,0,0,0,0,26,22,8,18,0,6,0,17,0,6,8,10,"0",19,7,9,0,0,13,2,9,10,"0",0,24,0,13,0,0,0,0,11,"0",0,5,15,0,0,3,10,17,7,15,0,0,14
"2004-09-01",7,27,0,0,20,0,33,0,"0","0","0","0",39,0,0,0,0,0,43,0,0,0,0,"0",19,9,34,0,"0",0,0,14,2,0,0,0,0,0,2,0,0,43,0,29,37,"0",0,0,0,"0","0",0,"0","0",0,17,0,6,12,12,18,16,9,16,0,0,0,0,"0",0,14,0,0,0,0,22,75,"0",0,0,0,0,0,"0",41,0,"0",0,0,0,0,"0",23,"0",0,33,0,0,8,10,17,"0","0","0",0,11,0,9,0,0,8,10,18,0,0,8,0,0,0,0,0,"0",31,"0",0,0,0,0,0,"0","0",0,0,12,0,15,0,"0",0,0,24,0,0,0,21,14,4,0,"0",0,0,"0",0,0,"0","0",3,0,10,0,0,0,39,0,29,13,"0",12,0,54,0,0,0,0,0,15,0,0,5,0,0,35,0,2,14,5,9,7,5,9,0,17,10,5,5,0,0,0,0,4,4,"0",16,0,0,"0",7,0,16,4,10,11,0,7,17,34,14,25,0,0,28,0,19,0,24,13,21,24,"0",0,"0","0",0,"1",1,0,1,7,13,0,19,0,6,0,0,0,0,41,0,62,5,0,0,25,0,27,16,0,23,19,0,0,18,13,15,0,3,9,9,2,5,0,"0",28,27,10,30,32,28,14,10,27,8,78,48,0,0,0,0,14,13,6,17,0,6,0,31,31,7,7,10,"0",29,4,14,0,0,12,6,11,0,"0",0,10,9,28,9,0,0,0,14,"0",0,8,11,0,0,9,6,15,6,14,0,0,13
"2004-10-01",11,15,0,0,36,0,0,0,"0","0","0","0",44,0,0,7,11,0,0,0,0,0,0,"0",40,23,0,0,"0",0,0,0,3,0,0,0,0,0,2,0,20,12,32,24,79,"0",0,0,0,"0","0",0,"0","0",0,16,0,10,25,25,18,11,9,0,0,4,0,0,"0",0,0,0,37,0,0,21,60,"0",0,0,31,0,0,"0",25,0,"0",0,0,23,10,"0",12,"0",0,29,0,0,10,11,14,"0","0","0",0,6,27,11,0,0,12,9,16,0,0,8,0,0,0,2,0,"0",0,"0",0,0,0,8,7,"0","0",0,0,0,18,0,0,"0",0,0,20,0,75,0,0,11,3,0,"0",0,7,"0",0,0,"0","0",6,0,4,0,0,0,21,0,0,28,"0",0,0,47,13,0,0,0,0,23,0,0,3,0,0,29,0,0,13,5,6,19,0,5,33,17,11,3,20,0,0,14,20,6,4,"0",9,0,0,"0",7,20,6,9,14,15,0,2,25,28,16,26,0,8,22,0,0,0,26,41,27,25,"0",0,"0","0",0,"0",0,0,3,10,14,0,15,0,1,0,0,0,0,42,0,15,0,25,0,13,0,24,10,25,32,18,0,0,0,14,8,0,9,0,8,5,3,19,"0",12,12,32,5,28,27,30,0,15,8,41,0,0,0,0,0,24,28,7,0,0,6,0,24,100,0,8,11,"0",10,5,10,0,0,4,2,9,11,"0",0,19,0,22,0,19,37,12,14,"0",0,4,4,0,0,6,8,15,20,9,0,0,0
