"date","c.入門","cdr.書き込み","e.n","fun","fx.兄貴","html.タグ.一覧","info","jp.company","korean.air","l.o","lan.ケーブル.価格","lec.公務員","mac.価格","mcp.資格","mov.再生","ngk.プラグ","nihonn","opera.ダウンロード","pdf.変換.フリー","syu","vendor","vi.コマンド.一覧","web.アクセス","zip.ダウンロード","zip.パス.解析","zookeeper","あ.ぱぱ","あい.で.む","アイコン.フリー","アイコン.位置","アイデム","アウドムラ.の.恩恵","アクセス.できない","アドレス.変更.方法","アドレス.帳.保存","アドレス.帳","アプリ.作成","ある.ばい.と","ある.ばい","アルキタ","アルティザン...アーティスト","アルバイト.an","アルバイト.京都","アルバイト.募集","アルバイト.千葉","アルバイト.名古屋","アルバイト.埼玉","アルバイト.札幌","アルバイト.横浜","アルバイト.求人.情報","アルバイト.求人","アルバイト.神奈川","アルバイト.福岡","アルバイト.関西","アルバイト","アレグロ.アジテート","アンインストール.方法","アンティーク.雑貨","いき.もの.がかり.気まぐれ.ロマンティック","いき.もの.がかり.気まぐれ","インザ.スカイ","ヴィゾフニル","ウィメンズ.パーク","エキサイト.翻訳","エスノ","エラー.修復","オークション.yahoo","おすすめ.フリー","カクテル.レシピ","カスタム.少女.xp","カフェ.アルバイト","カフェ.開業","カレント.エリオット","カロリー.レシピ","ギター.カタログ","キヤノン.ビズ.ア.テンダ","キャプチャ.方法","ギャラン.フォルティス.スポーツ.バック","ギャラン.フォルティス.スポーツ","キュー.レット.ミューラー.ts","ギリシャ.文字.読み方","キレイ.ぱど","クソスレ","ぐるなび.関西","グルメ.キャリー","ゲーム.一覧","ゲーム.板","ゲーム.無料.ダウンロード","ゲーム.育成","こ.ゆく.て.おいしい","コーディネーター.求人","コピー.フリー","コマンド.オプション","コマンド.一覧","サーチ.方法","サイト.作り方","サマー.セット.パレス.ソウル","サンリオ.ゲーム","し.ごと.情報","じしょ","シュガー.ケイ","シュミレーション.ゲーム","ショートカット.一覧","ジョブキタ","スカイマーク.ツアー","スクロール","スター.ネット","スタートアップ.削除","ステレオ","スパゲッティ.レシピ","スピーカー.設置","セーフティー.ネット","セインツロウ.2.攻略","セインツロウ.2","ソニック.ワールド.アドベンチャー","ソニック.ワールド","ソリティア.攻略","タイピング.ゲーム.無料","タイヨウノハナ","タウンワーク","タグ.一覧","ツールバー.削除","テキスト.エディタ.フリー","デコ.デザイン","デザイナー.求人","デザイン.求人","デジタル.化","ドーモ.ネット","ドーモ","どうぶつ.の.森.wii.攻略","ドクターシーラボ.bb.クリーム","どっと.コム","トナー.価格","どんぶり.街道","ニチイ.医療.事務","ヌギャー","ネイル.スクール","ネットワーク.表示","ねとらじ.スケープ","の.む.こむ","ノート.比較","パーク.ハイアット.東京.デリカ.テッセン","パーツ.センター","バスケットボール.ルール","パチスロ.カイジ.2","パチスロ.実機","パチンコ.アルバイト","パッチ.当て","ハブ.価格","はら.ドーナッツ","ハローワーク.川崎","ハローワーク.札幌","ハローワーク.横浜","ハローワーク","ハングル.入力","バンジョー.と.カズーイ.の.大.冒険.ガレージ.大.作戦","ヒール...トゥ","ヒーロー.インザ.スカイ","ヒーローズ.イン.ザ.スカイ","ヒーローズ.インザ.スカイ","ピッピ.靴","ビューティー.ナビ","ブーン.ルミナス","ファイル.名.一括.変換","ファイル.名.置換","ファブリック.バード","フォルダ.オプション","フォルダ.削除","フォルダ.表示","フォルティス.スポーツ.バック","プチフリ","フットサル.タイムズ","ぶら.う","ブライダル.求人","ブラウザ.シェア","ブラウザ.比較","プラグ.形状","プリキュア.無料","ふるさと.雇用","フレッツ.料金","プレミア.ショップ","ふろ.む","プロジェクター.比較","フロムエー","ヘタリア.名前","ベネッセ.ウィメンズ","ベルキュロス","ヘルパー.資格.取得","ホームページ.作成.フリー.ソフト","ホームページ.作成.フリー","ホームヘルパー.2.級","ホイール.通販","ホテル.地図","マイ.プレミア.ショップ","マイケル.ボルダック","マウス.価格","マクドナルド.求人","まったり.壁紙","マニュアル.日本.語","メーカー.一覧","メール.保存","メシウマ.aa","メニュー.の.作り方","メニュー.バー","モータ.原理","もろみ.え","ラベル.印刷.フリー","ランタイム.ダウンロード","リストラ","リンク.設定","ルーン.ファクトリー.フロンティア.攻略","ルーン.ファクトリー.フロンティア","レシピ.野菜","ワーキン","ワーナー.マイカル.みなとみらい","ワーナー.マイカル.海老名","ワールド.アドベンチャー","ワンピ.ス","不動産.連合","不景気","不況","中古.車","中小.企業.緊急.雇用.安定.助成.金","中小.企業.雇用.安定.助成.金","事務.所.求人","事務.資格","二.角.取り","京都.アルバイト","企業.一覧","企業.倒産","企画.書.書き方","低.カロリー.レシピ","住み.心地","侍.戦隊","価格","保証.制度","倒産.件数","倒産.情報","健康.診断.料金","充.放電","先端.科学.技術.大学院.大学","光栄.ゲーム","免許.証.更新","全日空.時刻.表","全日空.時刻","公務員.試験.対策","再.就職.支援","分割.フリー.ソフト","創出","助成.金.雇用","助成.金","区役所.出張所","医療.事務.資格","卒業.年度","原.ドーナッツ","受信.メール","受験.資格","司書","名刺.作成.フリー","名刺.作成","商工.リサーチ","囲碁.入門","地下鉄.所要.時間","地名.読み方","基地.求人","場所.検索","塗装.方法","変換.効率","夕飯.シチュー","大学.一覧","大学.偏差.値.代ゼミ","大阪.アルバイト","失業.保険.受給","失業.保険","失業.給付","失業","学校.一覧","実機.販売","家具.通販","密室.から.の.脱出.2.攻略","密室.から.の.脱出.2","小田急.線.時刻.表","小田急.線.時刻","就職.支援","就職.資格","履歴.書.自己.pr","履歴.書.自己","履歴.書.見本","岡部.文彦","市役所.地図","希望.退職","帝国.データ.バンク","年.号.西暦","広島.アルバイト","店舗.賃貸","引越し.料金","弥生.会計.09","彼.の.名.は.ドラキュラ","彼.の.名.は","恋人.は.ミュージシャン","情報.ネット","拡張.子.変更","採用.係","換算","教師.求人","文字.読み方","新聞.記事.検索","既.卒.就職","日本.エイサー","日本.語.教師.求人","日経.消費.ウォッチャー","星空.の.湯","映画.情報","普及.拡大","景気.低迷","景気.動向","景気","書店.アルバイト","札幌.アルバイト","東.建.コーポレーション","東京.商工.リサーチ","東方.神.起.歌詞","桃太郎.電鉄.20.周年","楽器.採用","横浜.研究.所","橘.つばき","民事.再生.法.と.は","求人.ジャーナル","求人.情報","法人.設立","派遣.ex","消費.電力.計算","深夜.アルバイト","添付.ファイル.保存","無線.lan.比較","特報","画像.表示","画面.キャプチャ","留学.奨学.金","異.業種.交流.会","番長.3.攻略","病院.地図","症状.検索","発電.システム","登録.制.アルバイト","着.うた.フル.プラス","社団.法人.と.は","福祉.の.お.仕事","米.軍.基地.求人","経営.状況","経済.情勢","経費.削減","給付.日数","緊急.雇用.助成.金","緊急.雇用.安定.助成.金","緊急.雇用","縮小","美容.室.口コミ","翻訳.求人","耳.つ.ぼ.ダイエット","職業.訓練","自転車.カタログ","航空.券.激.安","英語.ニュース","英語.日本.語","補助.金.太陽.光.発電","西暦.対応.表","西暦.対応","西村.隼人","角.取り","評価.版","講師.求人","資格.就職","資金繰り","起動.できない","車検.費用","転送.設定","辞書.登録","退職.金.税金","通信.端末","通販.カタログ","運転.免許.証.更新","都.道府県.大戦.攻略","都営.バス.時刻.表","都営.バス.時刻","重政.豊","銀.魂.鑑定","録音.方法","開業.資金","雇用.保険.受給","雇用.創出","雇用.助成.金","雇用.助成","雇用.安定.助成.金","雇用.調整.助成.金","雇用.調整","雑誌.一覧","雑貨.求人","電力.計算","電力.量.計","音声.が.出.ない","音声.読み上げ.ソフト","音響.求人","食品.衛生.責任.者","食品.衛生.責任","高等.技能.訓練.促進.費","高等.技能.訓練","髪型.写真"
"2004-01-01",67,55,93,66,0,57,88,100,66,93,22,71,74,56,11,37,51,16,28,31,54,65,48,47,54,85,0,0,100,62,44,0,33,44,60,46,60,32,0,0,44,76,83,91,31,50,29,54,34,21,36,33,80,42,74,0,40,49,0,0,4,0,6,70,69,56,30,27,100,"0",16,25,0,22,41,0,53,0,0,0,48,0,0,"17",17,81,36,71,52,0,0,37,69,87,56,74,0,48,0,44,0,66,50,0,0,82,10,64,95,63,27,27,0,"0",0,0,0,58,0,10,97,9,97,0,50,47,79,0,16,"0",0,6,30,0,56,0,32,64,0,0,31,0,100,100,0,20,14,35,28,0,48,29,55,57,39,0,0,0,0,"0",0,24,0,57,42,0,42,95,59,0,0,0,38,20,57,49,55,0,0,25,100,24,100,85,0,49,"0",20,51,100,41,57,70,0,0,90,0,0,87,67,60,0,83,83,49,0,25,78,16,69,"0",0,16,8,"61",77,15,0,14,12,23,93,"0","0",54,72,61,80,60,23,43,54,39,0,78,32,0,21,53,21,74,100,100,87,97,0,44,69,100,9,24,45,59,45,0,72,85,47,55,62,35,54,49,73,0,46,87,37,0,48,78,30,14,58,51,63,89,35,39,0,"0",43,85,37,44,47,48,12,0,73,23,47,53,17,23,24,0,0,0,0,67,74,0,71,47,51,40,0,25,0,0,0,79,0,0,37,25,0,54,28,26,0,"0",0,58,0,22,9,76,72,0,52,28,45,100,65,89,76,73,33,"12",85,55,33,0,0,26,0,0,58,76,46,99,"5","0","9",77,11,62,0,56,60,67,41,45,5,"11","17",0,86,58,49,44,49,94,48,80,47,66,73,66,97,0,22,73,0,0,66,52,25,63,9,7,"4","0",10,99,66,72,66,32,27,0,40,84,0,0,59
"2004-02-01",74,38,70,88,0,59,64,0,76,72,67,49,57,23,100,51,56,33,26,55,44,100,100,38,0,100,0,53,92,96,79,0,61,91,77,52,17,33,23,0,0,73,59,77,63,26,37,49,94,28,52,68,83,100,88,0,100,100,0,0,4,0,9,73,30,71,28,25,32,"0",48,0,0,4,54,0,54,0,0,0,33,0,47,"17",0,73,74,100,27,0,80,40,83,80,46,90,0,62,0,57,0,86,0,0,0,100,12,99,73,22,71,0,0,"0",0,19,61,95,0,11,67,9,62,0,32,68,89,0,17,"0",0,16,100,0,39,0,71,72,0,0,50,0,49,62,0,21,11,55,29,0,82,69,40,63,0,0,0,0,0,"0",0,100,0,50,73,0,54,72,63,0,0,0,59,21,59,32,28,22,0,44,0,100,41,57,0,51,"0",20,79,70,37,39,90,0,0,78,0,0,93,63,57,0,100,100,63,0,26,73,26,68,"0",0,29,31,"75",40,15,0,0,14,11,86,"0","0",37,32,98,91,52,24,83,37,20,0,75,33,85,18,37,21,68,43,70,22,39,79,60,75,62,10,24,100,14,55,0,68,59,42,34,46,32,83,34,75,0,47,64,0,0,57,81,60,22,64,95,69,99,36,53,0,"0",72,98,75,76,48,25,32,0,66,12,49,86,18,72,58,0,0,44,0,65,81,72,69,16,71,47,50,37,96,0,0,70,0,0,38,23,36,49,41,33,0,"0",75,82,0,17,9,71,79,0,59,0,27,76,100,70,93,50,48,"0",63,14,50,100,0,47,0,0,12,79,19,34,"0","0","6",73,11,48,0,64,50,48,24,46,16,"11","26",0,100,25,63,76,20,89,27,38,64,68,75,64,55,0,76,75,0,0,23,54,38,0,10,6,"0","0",2,44,17,79,0,50,47,0,27,60,0,0,46
"2004-03-01",77,100,43,73,0,43,60,0,20,95,89,32,40,61,15,51,89,22,22,42,44,89,83,45,73,74,0,0,92,64,50,0,63,40,62,36,41,45,30,0,0,72,64,91,42,51,30,65,39,50,49,46,93,95,81,0,77,27,0,0,21,0,10,58,54,77,24,25,21,"0",21,0,0,25,57,0,36,0,0,0,88,0,63,"19",0,79,74,79,100,0,0,37,100,77,77,55,0,100,0,45,0,100,8,0,0,75,15,22,87,58,0,37,0,"0",0,0,41,63,0,13,53,18,72,0,34,71,73,0,44,"0",0,13,16,0,39,0,29,100,0,0,36,0,46,28,0,84,14,48,38,0,44,65,75,64,53,0,0,0,0,"0",0,33,0,56,77,0,28,87,58,0,0,0,52,56,78,42,75,29,0,73,0,0,28,88,0,58,"0",54,70,44,49,52,93,0,0,78,100,0,77,53,64,0,38,65,0,0,0,39,22,100,"0",0,19,10,"100",79,23,0,19,19,6,78,"0","0",37,35,65,73,51,5,67,100,27,0,73,61,0,23,24,56,51,46,76,15,51,0,100,100,43,10,19,89,19,93,0,67,74,44,15,97,38,37,90,100,0,83,51,50,0,50,36,42,38,71,52,65,52,0,35,0,"0",64,76,100,50,42,25,42,0,100,0,39,52,0,63,40,0,0,0,0,66,62,96,58,64,58,47,100,0,42,0,0,66,0,0,13,20,24,65,60,27,0,"0",0,44,0,15,6,67,56,0,100,78,53,46,76,78,79,83,100,"0",84,38,67,44,0,53,0,0,47,0,25,45,"0","0","13",76,0,21,0,54,66,83,20,50,22,"0","23",0,47,59,100,50,54,58,41,68,43,36,100,45,66,0,40,100,0,0,0,48,39,69,10,10,"0","4",0,97,45,56,91,44,100,0,45,53,0,0,61
"2004-04-01",100,0,80,73,0,53,76,0,83,48,56,97,57,58,11,89,95,33,26,48,33,66,56,38,18,79,0,53,81,32,65,0,44,45,62,52,45,100,69,7,0,100,69,66,71,64,60,42,58,50,61,34,44,43,86,0,83,40,0,0,4,0,7,71,100,64,24,32,63,"0",32,52,0,11,21,0,27,0,0,0,100,0,0,"23",0,43,87,80,35,0,32,28,60,75,58,76,0,87,0,45,100,65,6,0,21,79,13,49,61,29,84,0,0,"0",0,10,61,36,0,12,87,18,100,0,38,48,95,0,58,"0",0,13,25,0,48,0,27,81,0,0,36,0,54,51,0,31,11,45,72,0,33,39,56,60,100,0,0,0,0,"0",0,25,0,34,29,0,86,79,85,0,0,0,39,21,78,32,55,22,0,22,0,75,21,77,0,43,"0",0,35,61,51,78,81,0,0,68,0,0,64,63,97,0,28,74,100,0,0,80,11,82,"0",0,23,0,"46",80,30,0,28,0,11,79,"0","0",23,53,70,37,48,12,61,28,20,0,68,13,28,21,18,21,91,26,75,45,100,63,15,52,54,6,22,53,38,39,0,67,65,56,57,77,26,28,67,60,0,78,26,19,0,35,27,46,22,60,48,60,46,36,20,0,"0",100,88,44,98,16,43,25,0,75,12,44,23,0,48,16,0,0,0,0,56,72,0,68,32,52,47,50,13,32,0,0,100,0,0,67,34,55,42,29,28,0,"0",0,93,0,11,13,71,100,0,27,29,100,48,76,100,81,62,61,"0",60,14,50,33,0,47,0,0,36,0,47,0,"0","0","6",74,11,16,0,50,86,55,42,50,5,"11","17",0,41,64,0,98,30,89,23,95,89,40,50,44,60,0,60,67,0,0,68,36,38,52,6,13,"5","0",5,58,34,58,68,66,19,0,41,67,100,100,30
"2004-05-01",96,61,57,57,0,48,85,24,62,88,37,79,50,66,45,62,83,40,31,39,54,27,46,38,15,69,0,0,75,79,73,0,55,62,51,45,44,55,0,0,0,84,70,63,39,47,67,28,52,43,68,35,88,58,85,0,47,49,0,0,7,43,10,71,50,52,28,25,58,"0",48,43,0,21,35,0,66,0,0,0,41,0,0,"13",0,46,35,86,65,0,26,42,52,76,85,56,0,41,0,74,0,73,9,0,0,85,13,54,65,41,35,11,0,"0",0,8,100,39,0,14,44,33,38,0,58,72,89,18,41,"0",0,17,10,0,47,0,27,74,0,0,37,0,32,59,0,25,6,67,35,0,54,24,39,57,65,0,0,0,0,"0",0,20,0,41,36,0,70,65,45,0,0,0,48,35,24,56,92,0,0,39,28,41,17,60,0,59,"0",33,100,84,34,40,69,0,0,52,61,0,97,66,71,0,47,83,41,0,63,48,13,70,"0",0,18,13,"85",81,23,0,23,0,7,86,"0","0",49,47,40,82,54,33,36,15,25,0,67,32,46,21,22,0,56,42,54,100,76,78,0,34,77,7,21,33,35,19,0,75,74,40,37,71,25,23,41,12,31,64,52,46,0,42,33,47,9,49,49,54,86,59,24,0,"0",75,89,41,37,52,61,52,0,58,29,34,70,100,71,23,0,0,36,0,52,62,0,64,0,43,29,41,10,39,0,0,75,0,0,39,27,15,28,37,24,0,"0",61,58,0,0,33,62,82,0,66,48,49,33,58,60,62,51,84,"0",69,35,48,27,0,33,13,67,39,21,15,0,"4","0","10",59,27,52,0,50,61,56,47,45,7,"9","42",0,38,72,10,37,41,100,31,73,92,22,0,64,49,0,62,41,0,0,9,44,7,53,7,12,"4","2",4,12,28,34,56,13,31,50,39,33,0,0,25
"2004-06-01",67,29,33,76,0,50,68,23,76,74,52,95,40,72,60,50,77,70,37,31,9,26,63,36,43,54,0,0,84,100,45,0,82,71,36,47,37,39,89,5,0,80,70,79,68,20,70,65,55,41,45,27,49,33,82,0,58,31,0,0,6,0,7,62,47,100,28,27,25,"0",33,20,0,22,100,0,21,0,0,0,65,0,0,"22",14,71,24,64,62,0,74,32,61,80,36,64,0,58,0,26,0,82,13,0,0,68,11,26,61,45,22,22,0,"0",0,7,48,37,0,14,52,31,90,0,45,30,82,0,45,"0",0,14,29,0,30,0,30,66,0,0,53,0,46,48,0,40,11,35,56,0,64,38,50,56,16,0,0,0,0,"0",0,39,0,53,79,0,100,71,56,0,0,0,15,25,15,74,87,34,0,20,27,58,48,79,0,37,"0",0,34,55,51,15,85,0,0,45,0,0,100,62,61,0,55,90,68,0,100,68,25,75,"0",0,32,12,"58",46,21,0,22,4,9,80,"0","0",29,21,54,57,74,16,61,58,23,0,70,5,0,15,28,33,83,67,66,69,60,37,35,32,63,9,18,57,26,24,0,65,56,46,18,96,29,65,65,47,0,49,50,29,0,45,42,51,14,49,61,50,82,0,26,0,"0",59,76,73,29,0,14,15,0,58,28,39,67,27,37,13,0,0,34,0,100,69,0,66,13,27,55,58,10,25,0,0,75,0,77,15,32,14,65,22,28,0,"0",0,94,0,9,14,66,53,0,50,23,62,53,44,82,80,87,58,"0",60,22,33,78,0,42,13,64,46,61,29,0,"4","0","5",80,17,100,0,49,58,97,23,47,6,"0","20",0,55,100,59,29,39,94,27,40,82,42,78,47,58,0,53,71,0,0,62,28,30,50,9,11,"0","5",8,45,26,82,53,64,29,0,69,31,0,0,0
"2004-07-01",56,15,42,65,0,46,61,0,89,75,53,38,38,100,52,100,80,45,30,37,52,26,59,40,14,77,33,0,70,51,62,0,56,48,37,49,33,26,18,3,0,66,50,88,56,36,100,77,23,34,38,40,35,11,85,0,78,63,0,0,3,42,8,66,48,41,24,14,56,"0",47,21,0,21,50,0,42,0,0,0,78,0,19,"23",14,63,53,66,35,0,50,33,68,76,64,62,0,20,0,45,0,86,27,0,17,88,12,13,62,46,44,0,0,"0",0,30,60,47,0,13,74,25,42,0,40,42,97,0,46,"0",0,10,24,0,46,0,43,86,0,0,25,100,46,32,0,24,8,29,23,0,52,23,63,54,31,0,65,0,0,"0",0,59,0,40,46,0,50,90,57,0,0,0,15,25,23,68,77,17,0,32,27,20,41,62,0,60,"0",32,55,66,51,39,100,0,0,54,0,0,73,54,100,0,34,57,59,0,60,69,19,93,"0",0,36,12,"56",62,30,0,28,4,12,78,"0","0",54,17,11,43,75,6,61,37,8,0,71,10,44,9,29,100,72,61,38,53,97,100,24,41,40,12,22,42,30,24,0,60,51,48,36,64,24,65,27,35,0,49,60,30,0,39,53,36,11,55,37,49,51,0,36,0,"0",60,82,64,53,38,39,15,0,87,37,29,61,41,12,9,0,0,0,0,62,90,0,69,38,69,60,39,10,25,0,0,72,0,0,37,41,100,77,19,24,0,"0",59,47,0,13,17,57,42,0,55,35,68,49,52,83,56,20,38,"0",77,22,36,52,0,27,39,0,65,0,29,27,"0","0","12",71,9,50,0,44,29,76,33,40,4,"9","14",0,14,31,49,53,8,74,15,70,57,32,39,33,43,0,48,85,0,0,27,14,23,81,12,14,"0","0",6,80,27,58,54,65,37,0,59,58,0,0,12
"2004-08-01",48,0,41,58,0,49,75,0,63,100,43,56,44,53,51,49,70,19,33,48,93,76,71,30,28,53,65,81,63,25,60,0,62,35,71,41,49,77,87,0,34,68,41,67,36,34,34,43,18,19,31,59,15,33,75,0,51,53,0,0,11,0,5,61,39,59,27,25,12,"0",29,60,0,20,24,0,41,0,0,0,25,0,18,"13",0,68,57,68,47,0,61,35,83,66,44,100,0,29,0,26,0,81,18,0,16,73,20,38,88,28,32,11,0,"0",0,7,23,54,0,13,56,24,59,14,49,41,70,0,19,"0",0,12,9,0,29,0,29,67,0,0,45,0,41,79,0,40,8,21,88,0,50,52,55,55,0,0,0,0,0,"0",0,38,0,38,66,0,49,62,67,0,0,0,89,24,67,35,21,17,0,47,39,19,55,67,0,30,"0",0,80,61,25,60,92,0,0,56,0,65,76,61,60,0,44,57,48,0,59,100,15,63,"0",0,27,0,"54",30,30,0,27,4,7,86,"0","0",32,44,48,56,73,40,59,64,15,0,65,15,22,23,28,16,58,33,53,43,41,36,23,34,62,11,20,46,25,12,0,68,40,33,26,56,31,42,39,57,58,48,49,58,0,35,21,48,11,61,56,52,25,0,30,0,"0",34,43,38,17,12,19,39,0,51,18,31,72,27,30,13,0,0,100,0,60,52,0,65,12,40,50,57,10,48,0,0,73,0,76,44,27,0,43,53,33,0,"0",57,75,0,26,20,59,48,0,16,56,36,73,47,84,60,29,62,"0",83,22,32,25,0,26,37,64,18,40,43,0,"0","0","5",74,25,37,0,50,38,100,48,43,4,"17","26",0,54,34,29,17,54,76,29,58,92,10,38,49,65,0,58,70,0,0,26,41,32,39,11,10,"0","0",0,56,13,32,69,50,36,0,36,20,0,0,93
"2004-09-01",46,14,51,68,0,51,77,0,89,61,49,35,25,51,73,46,59,12,51,58,56,61,45,45,27,61,93,39,79,59,59,0,80,45,46,59,45,61,100,0,100,70,78,86,29,38,27,41,43,23,28,19,47,62,77,0,36,66,0,0,0,0,6,71,15,57,25,25,46,"0",20,0,0,25,0,0,59,0,0,0,37,0,17,"14",0,71,90,53,87,0,0,37,74,68,68,84,0,18,0,67,0,85,42,0,15,82,11,12,79,27,21,10,0,"0",0,7,67,69,0,15,64,13,45,0,33,50,75,0,0,"0",0,13,46,0,43,0,36,92,0,0,23,0,76,23,0,0,10,54,53,0,72,50,71,55,58,0,0,0,0,"0",0,64,0,68,32,0,55,98,64,0,0,0,28,31,79,37,62,24,0,56,50,0,23,53,0,32,"0",15,96,72,51,29,88,0,0,64,55,0,80,48,93,0,52,90,55,0,37,64,19,47,"0",0,36,6,"77",58,23,0,26,7,5,93,"0","0",44,42,30,100,59,32,61,69,22,0,68,14,62,12,27,31,50,57,47,41,57,35,22,52,74,7,17,54,35,34,0,65,43,38,58,93,29,61,25,33,28,23,56,56,0,37,40,34,18,55,44,51,38,27,51,0,"0",35,61,59,28,23,14,19,0,42,9,35,68,26,64,18,0,0,0,0,71,72,53,69,23,39,43,37,18,23,0,0,70,0,0,21,21,27,41,42,30,0,"0",55,52,0,17,0,46,63,0,35,32,44,40,42,74,90,100,40,"0",64,31,25,24,0,40,0,61,35,19,21,0,"0","0","16",75,16,47,0,50,91,41,24,41,8,"8","0",0,43,58,18,28,59,71,39,74,71,15,55,48,62,0,67,74,0,0,75,26,28,94,7,12,"0","0",2,42,0,69,50,24,41,0,30,34,0,0,44
"2004-10-01",68,0,42,73,0,34,78,0,71,56,62,38,45,36,44,30,44,26,26,31,78,52,49,53,14,77,100,0,55,63,48,0,78,72,37,41,30,66,0,5,35,64,42,32,25,56,12,33,23,27,38,40,30,90,73,0,72,47,0,0,9,0,5,78,16,51,27,17,31,"0",13,41,0,21,17,0,0,0,0,0,0,0,19,"11",14,63,63,61,49,0,50,38,80,58,100,89,0,59,0,45,0,89,36,0,0,85,22,52,66,51,33,0,0,"0",0,15,60,47,0,8,100,28,55,0,40,46,72,17,7,"0",0,13,29,0,53,0,13,81,0,0,25,0,58,40,0,32,6,57,57,0,64,23,32,53,31,0,0,0,0,"0",0,39,0,66,23,0,25,71,70,0,0,0,15,25,54,65,44,26,0,29,0,20,24,60,0,43,"0",63,41,59,37,31,80,0,0,61,59,0,55,45,45,0,68,58,89,0,20,40,11,48,"0",0,11,6,"23",31,16,0,39,8,11,76,"0","0",36,25,55,36,41,9,70,29,8,0,67,26,22,13,29,50,48,34,31,35,48,50,35,65,28,9,21,31,7,24,0,61,46,29,71,75,30,0,79,59,30,49,71,15,0,46,32,29,11,50,48,48,46,57,36,0,"0",54,98,84,24,38,29,10,0,38,9,33,80,14,100,9,0,0,0,0,71,93,0,69,25,34,23,20,20,25,0,0,65,0,0,30,23,0,33,29,25,0,"0",0,52,0,9,14,48,71,0,38,46,42,27,49,100,70,49,86,"0",85,11,33,52,0,42,13,0,28,21,15,0,"4","0","5",71,9,0,0,39,39,38,50,38,4,"0","0",0,74,78,49,24,80,78,12,100,63,69,20,43,31,0,71,79,0,0,18,28,40,30,9,6,"0","2",0,46,13,50,36,52,30,96,37,42,0,0,36
