"","date","X4.star.hotel","X4.star.hotels","X4..hotels","accommodation.in","airport.hotel.parking","airway","akti.beach.club","all.hotels","allen.overy","apartment.rent","arco","artnet","atlantic.electricity","atlantic.energy","atlantic.power","average.fuel.price","average.wages","barcelo.brighton","barcelo.cardiff.angel.hotel","barcelo.cardiff","barcelo.edinburgh","barcelo.hotel.oxford","barcelo.oxford","bed.and.breakfasts","bentley.college","best.bridal.prices","bingley","bmw.cars","bmws","book.price","bridal.gown","bristol.and.west","british.gas.price","british.gas.prices","brussels.airline","building.society.uk","business.gas","buxton.palace.hotel","buxton.palace","c02","calculating.percentage","campanile","car.arena","car.hire.in","car.safety","car.test","cardiff.angel.hotel","cars..com","catersell","cavity.closure","cell.cancer","charter.flight","chateaux","cheap.bed.and.breakfasts","cheap.break","cheap.breaks","cheap.car","cheap.city.break","cheap.city.breaks","cheap.city","cheap.deal","cheap.deals","cheap.flights.from.glasgow","cheap.flights.from","cheap.flights.glasgow","cheap.flights.london","cheap.flights.to.belfast","cheap.flights.to.france","cheap.flights.to.ireland","cheap.flights.to.toronto","cheap.flights.to","cheap.flights","cheap.gas","cheap.hotels","cheap.packages","cheap.paris","cheap.short.breaks","cheap.travel","cheap.trips","cheap.weekend.break","cheap.weekend.deals","cheap.weekends","cheap","cheaper.gas","cheapest.flights.to","cheapest.flights","cheapest.gas.prices","cheapest.gas","cheats.com","chi.squared","child.ed","choice.travel","claris","co2","coach.travel","compare.gas.prices","compare.gas","compulsory.retirement","conjugador","construction.project","consumer.price.index","consumer.price","cost.of.food","cottage.scotland","cottages.for.hire","cottages.to.let","country.club","country.property.auctions","cpi.rpi","cpi","creative.writing.course","cruise.holiday","current.inflation.rate","current.inflation.rates","current.inflation","current.interest.rate","current.interest","current.issues","current.rate.of.inflation","daily.record.newspaper","days.inn.nottingham","dealers","delta.air","dial.a.flight","dienstverlening","dietary","differences.in","differentials","distant.learning","diving.in","diving.school","domestic.fuel","domestic.heating","driving.agencies","driving.vacancies","drug.prices","e.trade","eco.schools","economy.of","edinburgh.carlton","education.city..com","education.plus","electric.gas","electric.prices","electricity.bills","electricity.costs","electricity.price","electricity.prices","elluminate","energy.advice","energy.costs","energy.grants","energy.performance.certificates","energy.savings","energy.shop","energyhelpline.com","english.translate","epidemiological","equalities.office","equalities","equity","euro.into.pound","exchange.rate.of.euro","exercise.training","expedia","expenditure","expertise","f1.hotels","fashion.industry","feminax.ultra","ferries","fertilisation","find.property.com","first.choice.travel","fit","five.star.hotels","flat.rental","flat.rentals","flats.in.london","flight.center","flight.centre","flights.brisbane","flights.cyprus","flights.malta","flights.to.ireland","flights.to.porto.santo","flights.to.scotland","flights.to.tenerife","flights.to.toronto","flights.to","flights","florida.flights","food.bills","food.price","food.prices","ford.motor","four.years.strong","framework","freelance.world","freeport.swimming","fuel.bills","fuel.rate","fuel.suppliers","funds","gas.bills","gas.charges","gas.electric.prices","gas.electric","gas.electricity.prices","gas.electricity","gas.price.comparison","gas.price.increases","gas.price.rise","gas.price.rises","gas.price","gas.prices","gatwick.hotels","genetic.engineering","geothermal.heating","ghia","glasgow.to.newquay","glasseco","global.travel","globalisation","goddiva","gold.youtube","golden.sands.hotel","golf.holidays","golf.in","government.equalities.office","graham.technology","green.beauty","green.building","green.car","guest.houses","guideline","halifax.building.society","halifax.building","hbg.construction","hbos.share.prices","henry.boot","hertz.car.sales","hertz","hill.music","holiday.autos","holiday.cyprus","holiday.thailand","holidays.cuba","holidays.in.cyprus","home.office.tier.1","hostels.in","hotel.grand","hotel.in","hotel.le","hotel.map","hotel.morecambe","hotel.porto.santo","hotel.review","hotels.at","hotels.in.south","hotels.in","hotels.reviews","hotels","house.rental","housebuilder","housing.market","housing.price","housing.prices","human.right","immigration","implications","in.construction","in.vegas","income.tax.allowances","inflation.rate","inflation.uk","inflation.wiki","inflation","influencing","ins","insight.com","insolvency.practitioner","intakes","internet.call","investi","involvement","irish.cultural.centre","ius","java2s","jet","job.agencies","jobcentreplus.org","john.radcliffe.hospital.oxford","kombo","kyriad","lake.district.cottage","language.school","law.act","law.course","learn.italian","leeds.united.football.club","legal.general","letting.agency","letting.agents","letting","lichfield.mercury.jobs","linux.laptop","liverpool.intranet","living.in.spain","london.share","losertown","luxury.hotel","luxury.hotels","maple.hotel","market.forecast","matches.boutique","measures","mercedes.clc","mocha.brown","money.market..com","money.saving.ideas","money.super.market.com","mortality","mortgage.business","mortgage.lender","motivating","motor.inn","movie.club","narratives","nature.spa","new.citroen.berlingo","nptc","numeracy.world","obesity","office.development","ont","oxford.comma","package.deal","paid.to.review","palace.hotel","papers.mac","participation","pat.testing","payers","personal.tax.allowances","pets.welcome","pier.beach","plus.florence","portland.travel","power.prices","precision.marketing","premier.inn.com","prevalence","price.increases","primary.resource","primary.resources.com","primary.standards","primo","production.of","profit.and.loss","promoting","property.letting","property.lettings","property.market","property.rent","property.rental","public.involvement","quality.control","quality.hotel.cardiff","quality.hotel.glasgow","radcliffe.hospital.oxford","rail.fare","rail.fares","rate.bank","rate.of.inflation","rate.","rates.","rci","relais","rent.flats","rent.property","rental.apartments","rental.in","renting","resort.florida","riding.schools","riu.guarana","rotten.tomato","rpi.cpi","rpi","rsb","ruffians","rungay","same.moon","savings","scarlett.evenings","sdl.translation","seat.cupra.net","self.cater","self.catering.cottage","selfcatering","semantic","short.break","short.breaks","show.vacancies","singles.holiday","site.waste.management.plans","sites","small.hotels","social.responsibility","social.support","soils","sol.hotels","solar.heating","solar.water.heating","spa.holiday","spa.holidays","spiral.stair","sta.travel","sta","stability","standing.waves","star.hotel","star.hotels","star.travel","str","sunsail","surfing.holidays","tax.calculators","tax.guide","team.northumbria","tennis.brighton","tesco.dental.plan","text.editor","the.management","the.mortgage.business","the.rolex","thomas.cook.holiday.deals","tier.1.calculator","tier.1.uk","tier.one","timeshare","tokyo.hotels","top.bananas","trading","trail.finder","train.routes","training.on","transactional","travel.agents","trips.to","uk.gas.prices","uk.house.price","uk.house","uk.housing.market","uk.housing","uk.inflation","uk.rpi","utility.prices","vacancies.for","venmore.liverpool","verbe","villas.for.hire","want.glasses","water.heating","waterways","weddings.in","weekend.trips","well.done.fillet","wizzair.com","world.ticket","www.bbc.co","www.cartoon.network.com","year.round.weather","zimbabwean.dollar"
"1","2004-01-01",42,70,85,81,62,82,0,38,78,64,47,42,35,33,86,0,32,0,0,0,0,0,0,65,51,0,74,100,57,55,36,70,26,17,28,85,69,39,35,43,40,79,12,86,62,83,56,34,0,0,64,67,85,"55",59,73,76,66,82,85,44,54,52,85,59,77,51,66,53,41,78,89,89,88,74,89,58,66,79,31,29,79,85,44,70,67,0,49,"100",58,0,56,88,36,74,44,36,0,0,83,100,100,55,100,24,57,96,0,18,49,100,90,14,0,97,90,86,100,18,39,60,96,89,71,0,60,74,47,28,63,35,21,64,26,75,38,83,44,73,60,0,79,42,35,75,82,100,74,0,75,55,44,0,34,96,56,33,77,0,0,94,0,21,100,67,63,47,67,87,0,75,82,"9",47,39,81,94,58,64,57,47,80,66,62,69,0,76,78,69,82,89,97,0,29,58,77,0,68,0,0,0,0,77,100,53,78,54,48,70,88,29,0,63,57,34,45,71,67,30,53,0,0,27,93,0,0,47,65,63,0,39,24,20,73,63,41,78,75,46,15,56,0,71,34,74,63,100,82,68,0,91,80,89,98,89,24,0,74,66,89,89,79,94,82,32,67,27,92,37,97,63,84,60,55,85,85,0,83,62,97,38,41,13,90,0,68,0,33,0,93,77,0,57,0,78,91,78,91,100,45,79,97,69,87,83,0,80,48,78,59,0,96,80,0,42,0,77,0,0,0,82,0,78,73,18,39,26,30,30,0,0,100,0,74,100,70,0,42,0,88,68,82,49,32,97,55,20,0,52,100,86,0,62,39,100,0,33,49,71,46,72,84,83,70,83,94,38,82,94,80,43,80,48,50,75,95,35,100,67,61,85,90,79,95,100,71,0,95,18,41,80,11,0,0,61,0,0,79,38,69,85,75,90,87,0,45,0,89,100,89,83,88,85,24,19,37,36,39,100,92,92,47,70,100,41,42,53,53,47,82,0,41,0,77,63,39,28,49,0,16,0,75,88,0,90,51,53,75,71,100,73,64,50,100,70,74,89,86,31,93,73,0,83,0,35,53,100,79,0,0,61,100,46,30,0
"2","2004-02-01",63,61,65,82,34,78,0,21,59,72,45,78,44,21,75,58,100,0,0,0,0,0,0,69,54,0,89,97,30,58,84,60,0,12,68,99,12,62,46,35,74,65,50,77,78,54,72,53,0,93,80,32,54,"63",78,78,78,57,46,82,63,61,55,74,59,77,66,53,52,29,77,81,83,85,86,92,44,62,81,72,77,80,78,47,64,63,0,64,"97",65,0,38,75,49,70,56,26,0,0,75,53,70,50,65,45,84,75,85,19,79,44,74,100,0,51,74,85,77,49,96,63,94,71,73,67,90,99,100,88,57,24,0,72,18,40,81,66,23,71,42,0,50,40,42,79,43,62,51,0,93,35,13,0,28,100,0,31,81,0,16,100,0,15,87,60,100,61,28,49,0,72,100,"19",30,41,100,66,55,100,48,53,73,61,59,58,0,58,56,64,78,80,68,30,60,32,99,0,55,100,0,57,0,27,100,65,41,16,47,67,63,21,97,0,60,33,32,64,90,47,72,0,0,34,92,0,0,35,48,62,0,69,34,37,47,76,81,100,92,97,16,95,0,70,48,76,80,75,58,77,0,91,68,89,98,90,15,0,61,55,79,89,93,91,93,100,71,14,89,55,94,100,81,52,19,93,83,0,84,40,100,40,0,35,71,0,70,0,62,0,88,69,0,60,0,78,75,70,79,65,76,100,86,54,81,87,0,100,0,73,68,0,79,81,50,30,0,97,0,0,0,0,0,68,77,65,100,73,39,32,0,0,52,0,100,95,98,0,38,0,74,0,80,51,56,51,33,41,83,21,79,61,0,80,20,0,0,69,40,86,67,76,95,84,74,69,77,100,78,59,34,22,35,51,46,53,63,37,75,51,62,71,63,81,79,68,81,0,33,19,70,97,0,0,0,63,0,29,0,40,100,71,81,76,80,40,48,0,86,87,66,100,100,66,62,20,36,39,83,90,95,100,100,84,90,69,52,36,56,49,59,65,43,0,91,78,55,52,0,0,0,41,69,74,0,100,54,76,90,99,72,63,48,42,100,37,75,79,53,98,85,77,0,58,0,50,60,92,60,0,0,60,48,54,52,0
"3","2004-03-01",58,65,77,80,53,60,0,23,87,65,47,53,18,25,72,0,94,0,0,0,0,0,0,63,0,0,100,90,100,56,56,100,11,44,35,88,0,100,100,48,25,76,30,74,100,62,39,100,0,0,81,39,91,"47",65,66,76,38,60,56,49,49,29,72,60,68,65,83,63,41,76,73,61,81,58,87,37,63,45,40,47,100,75,28,60,62,0,21,"85",58,63,45,76,48,77,12,18,100,0,90,95,42,100,65,31,65,76,0,0,74,42,60,86,100,82,89,82,76,71,50,0,90,42,38,0,100,100,60,36,54,29,27,50,22,48,97,26,47,88,25,0,100,27,22,38,52,52,41,0,48,56,48,0,34,81,0,35,24,0,58,96,0,27,95,54,84,67,34,88,0,74,52,"19",24,46,43,50,27,68,94,55,58,58,65,56,0,77,47,17,76,74,64,0,59,27,91,0,67,0,0,0,100,33,99,22,98,0,30,41,41,0,0,0,0,15,29,55,100,38,87,0,0,55,100,0,0,34,77,70,0,66,20,58,69,70,91,94,91,29,19,43,78,78,50,78,54,95,47,31,0,93,75,81,81,82,18,76,59,60,98,81,76,82,100,27,92,87,98,28,95,64,99,42,70,100,83,0,97,100,75,48,0,100,100,0,89,0,64,0,85,70,0,36,0,64,64,80,92,54,61,80,100,79,77,74,0,39,61,88,67,0,72,66,0,36,0,96,0,100,0,0,0,91,71,100,92,22,86,89,19,100,54,0,93,76,59,35,100,0,70,0,73,85,27,46,40,0,100,29,63,37,0,99,98,21,0,33,76,100,74,100,74,60,84,67,83,60,87,72,40,72,68,47,43,100,90,90,61,82,39,55,38,79,81,75,49,0,100,0,43,67,0,0,0,71,0,0,0,49,84,40,100,69,77,48,57,0,83,68,100,60,76,70,30,24,20,25,100,85,82,97,0,73,87,83,53,21,96,40,78,0,52,0,62,87,100,18,16,0,0,49,74,89,76,91,32,68,84,71,71,53,23,45,95,100,100,90,55,0,85,46,39,35,100,34,69,71,50,0,0,45,58,87,50,0
"4","2004-04-01",67,62,66,79,68,63,0,33,79,53,39,33,51,35,59,0,44,0,0,0,0,0,0,77,0,0,93,81,37,71,19,65,0,0,29,100,36,72,46,49,52,73,25,89,67,57,52,41,0,0,71,48,50,"81",55,70,79,38,57,72,60,53,54,87,57,81,69,63,44,48,79,79,54,85,80,73,50,68,80,66,31,53,78,35,70,71,0,38,"39",82,0,38,91,40,82,35,19,0,0,78,26,17,49,71,45,41,80,0,38,61,17,61,57,82,51,52,23,70,29,54,62,100,70,65,100,86,62,49,29,66,48,45,87,100,69,100,65,38,82,94,0,66,35,37,31,21,43,39,0,66,23,39,0,49,33,0,39,100,0,32,92,0,15,52,62,75,71,56,36,0,76,64,"13",39,51,75,57,55,72,65,59,36,60,61,84,0,87,71,86,80,80,77,30,26,38,86,0,64,0,0,0,0,40,88,27,0,32,26,67,53,20,0,0,0,29,28,73,49,31,88,0,0,50,98,9,0,63,70,78,0,54,50,53,33,80,80,100,100,24,23,82,64,93,77,100,54,60,45,34,0,82,70,81,85,82,10,62,68,64,99,84,58,85,85,44,92,57,80,31,97,86,89,57,19,72,100,0,92,54,82,79,57,34,59,0,86,80,44,0,84,70,100,60,59,77,64,68,85,64,47,55,85,72,79,83,0,44,0,90,40,0,100,82,0,88,73,100,0,0,0,43,0,89,100,46,52,18,31,94,0,0,22,0,72,52,97,0,51,100,70,72,88,70,100,25,57,61,0,44,39,30,0,46,61,17,0,41,63,63,85,84,83,72,81,64,83,59,58,39,33,37,70,47,47,75,87,37,66,94,53,72,73,84,80,62,40,0,33,55,48,0,0,0,0,64,0,0,0,40,57,98,61,69,76,39,0,0,92,78,82,54,58,81,49,39,33,24,82,86,80,70,66,53,85,80,62,52,63,82,75,0,43,0,49,73,14,44,39,0,0,40,83,46,0,89,27,67,84,82,75,62,38,73,92,36,97,100,98,32,90,38,16,43,0,41,77,78,36,0,0,47,47,66,41,0
"5","2004-05-01",60,96,100,76,37,77,61,26,72,66,35,66,12,18,51,0,56,0,0,0,0,0,0,61,45,0,79,85,51,100,48,55,8,15,74,66,21,70,23,30,53,80,42,92,50,53,44,40,0,0,72,66,66,"57",57,63,79,75,54,60,82,61,51,75,75,80,78,63,63,82,82,81,76,80,49,86,50,66,58,61,59,95,81,40,75,75,0,18,"48",55,0,53,49,46,68,30,23,71,0,89,89,67,49,46,44,40,86,0,33,58,59,59,36,71,58,89,77,77,41,35,53,94,70,69,0,51,64,63,37,56,31,19,39,31,42,85,93,26,75,27,0,56,24,23,66,36,58,33,0,34,30,90,0,36,0,50,40,86,0,0,94,0,25,52,66,64,70,36,52,0,79,24,"16",47,54,80,58,61,76,71,61,41,64,71,77,0,50,69,100,79,82,73,0,32,46,100,0,67,0,0,96,35,80,85,31,35,0,27,23,54,35,0,0,0,29,29,68,42,54,82,0,0,43,86,0,0,36,63,82,0,69,57,54,40,73,82,80,74,82,20,100,54,86,56,66,62,64,54,61,0,89,81,79,100,81,17,0,62,67,74,80,64,82,88,19,72,12,82,66,100,60,72,47,32,73,76,0,76,64,82,100,49,23,60,0,100,0,45,0,87,79,0,77,0,76,45,74,100,85,49,99,77,52,82,82,0,57,0,100,65,0,86,66,84,12,62,73,0,70,0,36,0,91,45,78,80,15,60,89,0,0,38,43,91,94,93,12,59,0,72,0,100,35,94,22,60,87,0,46,45,0,0,72,86,15,0,29,53,63,62,77,80,71,67,72,82,34,52,100,57,32,42,51,34,48,74,32,65,72,58,65,58,82,83,84,58,0,84,0,55,35,10,0,0,63,0,0,0,34,67,96,80,88,67,100,40,0,100,81,74,78,64,71,42,84,21,36,35,81,81,88,70,64,88,100,53,53,74,42,82,0,73,0,81,97,23,25,39,0,0,34,73,39,0,84,45,66,88,100,77,66,32,58,85,46,82,78,64,55,91,65,41,49,0,30,62,77,55,0,0,53,49,36,26,0
"6","2004-06-01",59,69,81,92,59,93,0,49,81,71,57,27,36,12,37,0,46,0,0,0,0,0,0,81,0,0,80,86,56,100,77,42,0,25,80,78,30,34,68,54,43,100,10,100,68,54,27,59,0,0,85,61,100,"76",54,66,80,26,62,64,60,60,45,74,53,90,89,92,71,64,88,84,62,76,81,78,74,78,92,55,19,44,87,38,70,80,0,35,"54",18,0,52,100,44,76,29,14,0,0,51,54,72,41,73,21,39,82,70,16,86,29,58,59,69,84,69,84,46,72,45,0,95,53,45,0,74,56,0,97,48,90,37,30,23,57,33,18,38,42,26,0,41,30,61,52,18,97,46,0,33,58,76,0,53,82,0,39,67,0,40,87,0,24,36,55,72,50,93,50,0,83,77,"19",40,40,55,75,32,62,74,74,40,81,64,63,0,58,49,86,85,87,78,0,22,50,72,0,64,41,0,0,17,0,75,45,34,13,25,39,58,34,0,0,0,27,30,79,23,52,68,82,0,46,41,0,0,47,74,82,0,45,28,57,52,75,58,77,72,100,13,59,53,100,59,91,89,65,69,59,0,100,81,85,96,92,25,51,70,70,84,87,56,83,100,46,76,35,47,90,87,44,70,44,0,77,92,0,81,57,94,65,24,28,68,0,66,100,29,100,90,100,0,75,0,81,53,88,68,45,54,46,78,79,87,80,0,79,42,82,59,0,82,77,0,85,60,71,0,0,0,0,0,80,59,61,44,60,78,17,0,68,12,0,81,96,40,24,79,0,87,60,53,74,56,42,58,34,0,37,22,100,0,45,50,14,0,34,62,44,35,59,74,88,69,74,100,74,73,82,0,68,29,38,53,72,93,31,62,88,62,76,78,95,91,36,52,0,27,0,55,46,0,0,41,64,0,0,69,33,75,94,57,71,62,66,39,0,90,77,73,27,52,93,31,33,32,29,34,89,90,66,28,61,83,87,39,51,86,41,62,54,71,0,73,51,11,37,48,0,0,100,82,53,0,89,44,62,78,78,75,76,39,61,92,45,86,91,100,27,95,0,0,84,0,31,85,75,30,0,0,45,24,30,51,0
"7","2004-07-01",76,84,88,94,80,62,63,33,71,85,66,38,51,36,52,0,29,0,0,0,0,0,0,100,47,0,79,68,46,78,65,72,24,21,100,54,21,36,48,43,36,85,54,100,74,46,28,46,0,81,46,75,97,"100",100,96,88,49,69,97,100,100,74,100,99,100,100,64,100,92,99,100,44,97,100,100,85,92,99,43,100,92,100,40,100,100,54,29,"53",19,45,67,80,37,100,18,18,0,0,57,45,91,29,70,100,83,93,0,16,81,23,53,49,71,45,91,73,21,100,71,54,91,96,65,0,52,32,65,26,93,41,20,45,55,34,70,38,20,39,73,0,43,32,28,0,0,27,54,0,46,40,17,0,25,43,0,32,0,0,28,91,0,19,75,81,45,62,97,74,0,100,49,"8",52,41,82,100,100,87,93,100,53,83,93,91,0,73,88,87,95,100,91,0,33,25,63,0,65,0,0,0,0,47,82,40,35,14,34,70,50,18,84,57,0,14,24,100,15,27,64,0,0,74,23,0,0,43,68,90,0,35,29,55,68,100,42,78,76,21,47,31,56,95,72,94,100,68,80,100,0,91,95,95,96,100,26,0,91,61,82,97,80,94,89,57,57,100,63,34,84,31,68,40,33,60,50,0,54,22,84,34,100,24,51,0,53,0,30,0,98,97,0,78,0,89,83,71,59,78,100,77,92,100,94,100,0,52,43,63,100,0,90,87,43,39,0,75,0,0,0,0,0,56,87,48,20,32,75,37,0,0,32,0,41,95,75,25,61,0,95,0,64,61,19,33,100,18,0,74,45,79,30,43,18,15,0,30,72,31,16,49,73,90,57,70,94,78,43,34,14,39,67,53,52,52,43,32,83,87,63,78,50,90,95,70,100,0,85,0,40,48,0,0,0,58,0,0,0,34,97,90,66,93,98,51,31,49,99,80,87,43,38,86,32,0,31,50,72,99,100,64,29,69,90,92,45,86,96,57,84,56,37,0,100,57,36,19,79,0,0,35,100,80,54,88,70,80,80,41,95,89,25,87,83,16,73,61,52,0,81,67,42,100,0,34,77,82,56,0,0,56,58,47,89,0
"8","2004-08-01",100,100,94,100,75,67,0,58,55,73,63,28,37,23,50,0,56,0,0,0,0,0,0,85,0,0,61,77,75,62,55,38,8,41,64,75,93,35,38,21,35,66,0,90,76,73,38,39,0,0,82,57,87,"81",90,100,100,100,96,100,91,91,77,93,100,97,97,84,59,56,88,91,90,100,67,91,100,82,98,83,77,69,93,49,79,81,0,85,"37",29,0,64,34,30,73,26,24,70,0,69,66,81,62,82,75,75,100,0,33,56,65,100,24,0,29,35,62,26,24,23,0,99,64,100,0,44,23,62,37,100,100,0,47,46,74,50,46,26,32,80,0,28,44,42,52,18,72,62,0,99,29,38,0,23,84,100,33,33,0,40,88,0,12,51,73,53,46,82,36,0,92,6,"13",56,40,61,94,78,85,100,80,71,84,76,96,0,100,85,65,93,95,87,0,25,40,77,0,65,41,100,0,17,90,90,31,0,34,43,67,63,26,82,84,0,44,44,91,9,53,80,0,0,100,25,0,0,100,100,92,0,34,35,49,54,89,79,79,69,41,0,79,54,93,84,100,94,47,79,72,0,95,84,99,98,99,29,0,100,100,100,100,95,100,94,56,71,36,61,26,93,37,66,55,0,46,52,0,66,21,96,33,24,29,50,0,57,0,44,0,94,86,0,100,0,69,62,73,64,71,66,56,77,71,100,94,0,70,42,68,81,0,92,100,42,100,0,56,0,0,0,0,0,45,94,31,40,100,33,18,13,0,19,0,36,35,41,24,80,0,96,0,53,78,47,0,73,85,69,100,22,51,0,37,52,0,0,23,47,37,21,52,94,100,80,78,100,58,25,50,69,50,88,54,57,47,31,31,78,100,79,80,80,100,100,78,77,0,55,31,47,23,0,0,0,69,0,0,0,100,91,79,43,86,100,33,100,0,94,98,56,49,30,83,26,50,60,54,52,89,90,47,28,95,100,63,40,100,100,55,72,0,36,0,70,78,46,31,76,0,0,0,80,100,0,90,23,87,61,66,93,100,32,80,92,39,73,59,44,27,86,65,54,73,0,36,100,91,100,0,0,45,56,40,61,0
"9","2004-09-01",73,80,99,84,60,100,0,35,63,74,60,49,43,10,33,0,66,0,0,0,0,0,0,65,0,0,71,75,73,69,49,46,28,27,64,49,54,54,75,44,39,68,9,73,44,44,72,40,0,0,63,50,71,"43",90,82,81,28,96,93,70,69,58,78,82,87,83,47,53,100,81,81,91,93,62,90,68,63,71,69,57,81,81,86,65,71,94,82,"52",23,0,60,60,31,82,64,35,62,0,62,29,46,18,76,62,71,97,0,0,71,52,61,43,0,88,62,55,36,51,40,0,87,57,62,0,69,50,37,76,63,18,100,65,41,88,45,16,29,57,39,0,74,59,51,23,32,96,100,64,98,26,44,0,100,49,44,39,15,0,36,94,0,11,59,64,52,57,21,63,0,69,16,"12",52,41,69,80,65,65,36,70,63,75,59,74,0,68,84,54,85,84,75,0,17,50,72,0,70,0,0,0,46,80,81,68,61,36,62,95,100,69,72,100,44,54,48,81,40,35,100,0,0,62,29,0,0,52,76,83,0,51,57,71,57,71,78,58,70,36,0,44,0,78,58,68,73,70,56,63,0,85,90,92,90,91,19,46,87,62,90,93,56,93,79,41,65,32,60,52,84,44,68,53,43,61,64,0,63,40,90,0,43,26,61,0,57,0,33,0,97,71,0,67,0,58,87,100,61,100,72,53,78,54,96,86,0,53,0,74,78,0,83,85,0,22,0,69,0,61,0,0,0,85,48,55,9,7,87,47,12,0,72,0,62,70,81,11,90,0,85,0,49,62,50,28,46,46,0,56,88,22,0,69,60,13,0,20,53,59,54,78,82,71,77,68,92,67,54,59,100,100,68,47,44,64,37,28,59,70,74,74,70,85,86,96,64,0,37,0,61,20,9,0,37,62,0,0,0,0,67,81,61,98,76,88,61,0,76,97,77,37,36,68,51,58,39,43,0,77,76,66,24,82,96,92,46,62,59,61,52,0,32,97,79,68,31,44,29,0,12,30,66,55,0,89,59,77,66,58,66,77,92,74,86,47,74,64,45,36,82,0,71,86,61,52,81,75,75,0,0,40,50,22,100,0
"10","2004-10-01",75,69,75,64,31,83,0,39,66,67,52,42,22,21,34,0,84,0,0,0,33,0,0,66,0,0,74,75,51,60,99,34,14,14,29,50,37,23,56,8,32,54,38,58,80,51,74,27,0,0,54,41,62,"33",74,82,68,33,80,78,55,56,55,81,63,82,70,60,73,40,67,71,93,90,46,86,61,60,98,100,29,78,76,62,71,62,95,71,"36",36,0,37,39,39,72,31,18,0,0,53,40,53,31,56,24,27,78,0,0,52,46,69,22,0,90,16,56,56,37,21,0,72,67,79,0,62,68,56,100,57,27,34,90,28,82,61,33,12,69,79,0,63,47,45,95,65,94,17,0,100,53,40,0,32,51,45,35,15,0,61,96,0,11,46,70,65,54,64,60,0,60,65,"15",30,38,86,56,63,69,63,79,82,64,45,74,0,71,76,65,73,72,47,34,29,29,57,0,73,0,0,0,16,61,89,49,61,31,48,56,67,16,0,0,45,38,40,63,47,36,56,0,0,47,65,0,0,21,66,73,0,21,26,52,35,59,65,84,73,55,29,36,0,67,72,54,58,74,57,71,0,71,80,83,66,78,23,0,63,61,66,85,67,84,76,33,75,43,55,77,84,57,92,56,15,57,74,0,65,54,92,45,22,10,89,0,82,61,47,0,87,67,0,57,0,78,81,56,91,91,49,55,82,52,78,68,0,91,0,76,74,0,82,67,0,56,0,76,0,0,0,33,0,43,58,56,36,28,59,32,0,63,45,0,89,99,56,16,48,0,79,0,60,41,42,48,44,0,0,44,79,0,0,62,15,27,94,36,54,69,46,64,62,64,75,60,64,53,50,45,25,45,96,58,40,37,47,57,62,61,60,57,52,75,69,80,52,0,50,0,48,53,0,0,37,79,0,0,0,61,75,61,54,91,77,30,54,43,71,76,83,60,44,65,33,75,40,27,47,73,75,70,75,76,75,85,47,47,60,25,73,0,65,0,69,80,10,62,10,0,0,0,66,84,47,92,61,72,74,98,60,69,87,100,83,49,61,75,63,37,65,29,24,33,0,64,64,73,84,0,26,39,80,100,39,0
