"date","alabama.unemployment","amazing.sonic.scene.creator.2","annual.convention","arizona.unemployment.rate","arkansas.unemployment","auction","bible.lessons","big.fun.town","birthday.party.invitations","blonde.scene","bridal.bouquets","business.cards","business.in","business.services","ca.unemployment.rate","ca.unemployment","california.unemployment.rate","canadian.unemployment.rate","chase.loan.modification","chinese.movies.online","christening.gowns","clinical.laboratory","co.unemployment","college.community","colorado.unemployment","combofix","community.centers","community.education","community.learning","community","confidentiality.agreement","consultant.resume","ct.unemployment","current.national.unemployment.rate","current.unemployment.rate","current.unemployment","day.school","department.of.labor.unemployment","design.resume","designer.resume","development.center","divorce.mediation","download.streaming.video.free","education.center","effective.resume","emory.first.class.login","failblog","fictitious.business","finding.a.job","florida.unemployment.rate","florida.unemployment","free.tower.defense.games","free.video.tube","functional.resume","ga.unemployment","gmac.loan.modification","grants.wiki","graph.of.unemployment","graphic.design.resume","graphic.designer.resume","green.energy.jobs","grocery.prices.online","hawaii.unemployment.rate","hbo.movies.online","health.education.center","help.for.the.unemployed","high.school.district","highest.unemployment.rate","highest.unemployment","home.loan.modification","home.retention","how.long.is.unemployment.benefits","how.to.get.a.loan.modification","il.unemployment","illinois.unemployment.benefits","illinois.unemployment","independent.schools","indiana.unemployment.rate","indiana.unemployment","iphone.app.tutorial","job.websites","jobless.claims","jobless.rate","jobless","jobs.in.demand","juried","kisses.movie","ks.unemployment","ky.unemployment","labor.department.unemployment","language.center","lawyers","legal.services","length.of.unemployment.benefits","length.of.unemployment","loan.modification.laws","love.story.chords","maine.unemployment.rate","marketing.resume","maryland.unemployment.rate","massachusetts.unemployment.rate","mediation.training","medical.training","mi.unemployment.rate","midnighters.series","mint.com","missouri.unemployment.rate","missouri.unemployment","modified.mortgage","money.supply.chart","montelucia.resort","montgomery.county.community.college","monthly.unemployment.rate","my.gatech","national.unemployment.rate","need4","nevada.unemployment.rate","new.york.unemployment.rate","north.carolina.unemployment.rate","number.of.people.unemployed","nursing.society","ny.ui","ny.unemployment","nys.ui","nys.unemployment","obama.campaign.promises","occasion.dresses","ohio.unemployment.rate","ohio.unemployment","oncology.nursing","online.resume","pa.unemployment.rate","pa.unemployment","paralegal","pennsylvania.unemployment.rate","private.schools.in","promotional.products","pspube","recession.recovery","resume.career","resume.writers","resume","retreat.house","ri.unemployment.rate","roast.restaurant.detroit","sample.resume","san.diego.unemployment.rate","sc.unemployment.rate","schools.on.long.island","services","showgirlzexclusive","skills.test","south.carolina.unemployment.rate","state.by.state.unemployment","state.unemployment","state.with.highest.unemployment","states.with.highest.unemployment","submit.your","technology.center","tennessee.unemployment.rate","tennessee.unemployment","the.unemployed","therapy.training","tn.unemployment","toastmasters","total.unemployment","training.center","ui.benefits","umail.iu.edu","unemp","unemploy","unemployed.benefits","unemployed.workers","unemployed","unemployment.benefit.ny","unemployment.benefit","unemployment.benefits.maryland","unemployment.benefits.massachusetts","unemployment.benefits.pennsylvania","unemployment.benefits","unemployment.blog","unemployment.by.state","unemployment.chart","unemployment.check","unemployment.in.california","unemployment.in","unemployment.insurance.benefits","unemployment.online","unemployment.payments","unemployment.percentage","unemployment.rate.california","unemployment.rate.chart","unemployment.rate.florida","unemployment.rate.forecast","unemployment.rate.in.california","unemployment.rate.in.canada","unemployment.rate.in.new.york","unemployment.rate.in.ohio","unemployment.rate.in.the.us","unemployment.rate.in","unemployment.rate.state","unemployment.rate","unemployment.rates.by.state","unemployment.rates.by.year","unemployment.rates.in.us","unemployment.trend","unemployment","unemployments","university.job","us.jobless.rate","us.unemployment.benefits","us.unemployment.rate.history","us.unemployment.rate","us.unemployment","utah.unemployment.rate","va.unemployment","virginia.unemployment.rate","vocational.school","wa.state.unemployment","washington.state.unemployment.rate","washington.unemployment.rate","weddings","wells.fargo.financial.locations","what.caused.the.recession","wisconsin.unemployment","writing.a.cover.letter","www.unemployment.wisconsin.gov","youth.bible.study"
"2004-01-01",8,0,65,0,11,100,84,0,81,12,100,85,82,97,27,17,31,0,14,0,74,70,17,100,42,"0",88,100,72,99,64,72,6,0,44,32,45,82,67,88,88,63,100,100,100,0,0,92,93,18,28,0,0,100,11,0,0,100,87,100,0,33,100,0,60,0,96,41,19,0,46,0,0,22,52,50,88,37,14,0,62,37,42,63,34,53,20,0,13,78,83,92,100,0,48,0,11,0,77,0,80,44,96,0,0,1,0,28,95,64,0,75,0,0,53,0,0,66,100,0,100,34,23,0,10,0,87,0,15,68,100,0,17,93,0,100,77,0,40,81,99,100,71,0,0,100,0,0,93,96,0,83,0,7,69,0,76,15,70,61,28,16,74,10,66,83,72,0,0,0,38,21,60,41,46,22,96,78,0,23,0,10,25,13,52,27,51,19,10,30,11,24,18,0,0,0,0,80,0,28,22,34,0,0,51,52,27,0,100,100,27,0,49,51,0,23,0,90,19,77,44,100,0,0,25,90,0,94
"2004-02-01",12,0,85,39,11,94,63,0,55,0,84,88,86,94,27,21,24,0,0,0,57,81,17,75,37,"0",80,76,82,84,94,86,7,0,33,36,45,85,98,60,93,52,49,97,59,0,0,59,65,17,23,0,0,79,5,0,0,49,98,65,16,48,49,0,33,83,97,40,18,0,27,0,0,10,26,36,81,0,9,0,63,31,14,66,24,58,19,11,4,71,72,95,78,0,47,0,0,0,61,0,78,75,82,0,0,1,0,16,62,0,0,49,0,52,57,0,54,57,49,76,41,33,12,29,11,0,85,0,7,55,91,34,18,88,0,79,82,0,0,77,64,98,64,100,0,87,100,0,34,95,0,61,66,9,54,0,0,21,82,0,20,27,72,16,64,0,87,0,0,26,28,41,29,34,45,31,0,51,76,19,0,6,30,20,30,28,34,6,19,44,22,35,17,39,45,0,63,0,34,36,32,43,0,0,100,0,25,34,80,98,52,48,83,71,0,11,80,83,0,100,43,86,0,0,17,65,0,65
"2004-03-01",19,0,77,0,14,95,100,0,73,15,71,94,88,100,0,13,39,0,0,0,98,93,21,84,24,"0",100,90,62,89,76,40,3,75,59,58,35,63,84,71,100,63,21,91,38,0,0,86,100,22,19,0,4,85,0,0,0,0,100,70,21,42,0,0,100,0,90,25,18,0,68,0,0,16,49,17,100,0,15,0,54,40,18,56,37,100,25,0,17,71,90,89,92,0,0,0,0,0,78,0,50,68,76,71,0,2,0,12,79,81,0,63,0,0,66,0,0,31,0,0,65,43,15,38,7,0,99,26,10,76,70,44,8,96,0,86,86,0,50,66,83,99,43,0,0,88,0,0,58,96,0,100,0,9,43,0,0,21,77,0,20,38,76,5,78,35,86,0,0,34,0,79,0,41,0,26,48,33,0,15,0,21,38,13,20,30,20,7,0,28,29,60,22,100,0,0,80,100,65,31,18,44,23,0,64,0,24,44,87,0,0,0,50,60,0,33,51,88,24,0,27,76,0,0,6,79,0,100
"2004-04-01",10,0,100,38,21,94,53,0,32,12,67,88,91,83,0,20,18,0,0,23,100,100,57,85,27,"0",72,71,70,91,98,76,9,0,61,49,41,50,100,69,90,63,24,91,0,0,0,73,71,25,20,0,0,77,5,0,0,71,95,32,16,0,0,0,45,81,86,19,18,0,26,0,0,14,31,37,93,35,11,0,56,56,27,51,19,44,38,11,13,48,56,99,81,0,46,0,0,0,46,0,0,94,89,0,0,3,78,15,0,0,0,78,0,50,70,0,0,31,0,0,66,0,8,0,8,0,58,20,12,57,80,50,17,100,0,82,93,0,38,54,73,99,57,0,0,93,97,0,55,95,0,78,0,10,41,0,0,19,78,58,19,21,92,8,54,26,70,18,0,0,0,0,57,46,43,25,0,75,74,15,0,19,23,17,34,28,33,11,0,36,22,46,25,38,0,0,0,0,33,42,24,44,18,39,65,100,23,34,88,95,25,46,69,68,0,14,0,81,18,0,0,76,0,0,27,60,0,77
"2004-05-01",13,0,40,69,9,88,68,0,82,21,65,89,80,84,23,21,27,0,0,21,57,80,30,90,23,"0",84,81,74,93,80,76,7,52,23,42,39,55,74,80,86,60,29,82,43,0,0,84,78,15,21,0,0,70,14,0,62,43,63,96,14,100,43,0,52,0,91,53,16,0,31,0,0,19,57,23,60,32,7,0,45,28,24,42,34,92,17,0,0,51,65,91,74,0,0,0,9,0,72,0,35,57,99,0,0,0,0,21,54,0,0,71,67,0,41,0,0,36,87,67,47,0,13,26,7,0,61,36,10,62,67,30,12,93,0,88,74,0,0,84,76,98,71,0,0,93,88,56,50,93,0,70,0,14,39,0,0,17,100,0,14,21,80,4,72,48,71,0,0,0,17,37,26,38,0,16,33,56,34,14,27,11,21,4,13,28,27,10,16,39,30,31,15,34,40,28,0,69,30,37,19,30,16,35,88,0,21,0,80,0,46,85,50,39,0,13,0,83,8,44,0,75,0,50,12,89,0,46
"2004-06-01",15,0,82,71,29,92,65,0,68,0,76,100,80,94,0,31,11,0,0,0,69,74,30,84,26,"0",97,91,100,91,100,63,12,0,27,19,34,56,40,50,92,77,15,88,35,0,0,74,87,39,24,0,0,68,14,0,63,0,23,19,15,58,0,0,47,0,81,18,17,0,24,0,0,17,17,42,52,0,13,0,59,14,25,25,4,53,18,0,8,55,100,100,79,57,43,0,0,0,62,50,0,58,97,0,0,1,0,22,56,0,0,78,0,0,42,0,0,15,89,0,45,0,13,0,10,0,68,37,6,80,62,0,15,88,37,80,75,0,35,69,68,96,100,0,0,90,0,56,72,99,0,61,0,9,40,0,66,17,86,53,14,22,100,5,81,49,82,0,0,23,0,0,39,40,80,25,51,58,34,13,0,0,54,9,18,25,34,12,17,13,10,43,39,0,0,0,56,0,15,11,6,21,16,36,30,0,22,0,87,0,24,0,32,35,60,31,37,91,26,0,0,94,47,0,12,88,0,47
"2004-07-01",11,0,73,37,20,93,59,0,57,0,89,95,78,94,25,22,23,0,0,22,46,64,16,82,33,"0",87,72,68,90,58,87,3,0,18,18,33,50,65,70,86,100,30,72,64,0,0,94,95,16,21,0,0,56,25,0,0,45,42,61,22,0,0,0,48,0,70,19,9,0,0,0,0,18,24,20,71,0,13,0,44,29,26,35,18,67,18,10,20,50,77,93,81,0,44,0,0,100,76,0,0,50,82,0,0,1,0,23,0,0,0,62,70,0,39,0,0,30,91,0,58,31,11,27,11,0,78,77,11,45,80,0,16,90,0,77,100,0,36,64,100,93,78,0,0,85,0,0,42,100,0,61,61,11,47,0,70,20,84,0,18,37,57,8,100,25,87,0,0,25,17,19,54,40,0,10,35,71,71,13,0,6,28,9,43,21,14,7,17,27,10,66,16,36,0,29,0,0,0,12,7,27,0,0,31,47,22,0,82,90,24,45,28,29,0,19,0,92,9,0,100,91,0,0,8,33,0,85
"2004-08-01",15,0,69,33,36,97,91,44,54,0,88,90,76,90,22,16,31,0,0,20,74,75,28,100,24,"0",83,89,77,98,85,98,9,50,22,26,57,59,82,55,91,59,27,86,33,0,0,100,81,0,21,0,0,74,13,0,0,0,49,55,0,27,41,0,66,70,94,17,15,0,22,0,0,18,16,29,71,0,9,0,55,18,0,29,16,98,16,9,11,47,74,96,88,0,0,0,9,0,80,47,33,36,85,0,0,0,0,26,52,0,0,58,0,0,44,0,0,20,62,0,57,0,17,0,9,0,77,0,10,47,55,0,11,99,0,82,70,0,0,73,27,93,70,0,0,87,0,0,77,100,0,62,0,4,38,0,0,22,73,100,20,23,67,8,100,23,100,15,0,0,16,52,49,53,38,32,32,21,0,12,0,8,15,15,43,21,21,11,23,19,0,20,0,33,38,0,0,66,0,15,9,27,30,0,28,43,21,29,79,82,0,40,48,33,0,10,34,98,24,42,0,86,0,0,14,58,0,33
"2004-09-01",9,0,77,63,17,88,83,0,67,10,55,93,88,80,32,19,19,0,0,0,79,59,0,76,34,"0",73,85,74,86,66,31,3,94,39,51,46,49,78,52,91,61,26,94,55,0,0,80,54,27,27,0,0,73,13,0,0,39,47,52,0,26,0,0,78,0,95,47,29,0,28,0,0,10,36,39,73,0,9,0,59,29,44,35,27,78,31,9,0,55,80,96,73,0,0,0,8,0,81,0,63,43,87,0,0,2,63,19,0,100,0,53,0,0,74,0,43,13,39,60,57,26,15,23,10,0,58,16,10,100,51,0,14,84,32,76,91,0,31,76,60,96,68,0,0,89,0,0,54,95,0,80,0,8,37,0,0,21,95,47,22,32,86,8,85,87,74,29,0,0,15,33,35,46,0,23,30,20,91,12,0,10,38,6,28,27,22,7,15,41,27,38,27,31,0,100,0,0,0,41,23,43,14,0,40,41,21,0,83,78,21,38,56,62,0,9,32,97,0,40,52,76,42,0,19,67,0,73
"2004-10-01",13,0,89,0,17,82,64,0,74,0,42,90,89,82,0,14,15,0,0,0,87,76,14,71,30,"0",75,62,48,81,74,70,8,48,38,35,35,66,76,25,83,75,27,78,32,0,0,65,53,28,24,0,0,69,22,0,0,60,85,35,0,53,40,0,80,0,84,40,22,0,43,0,0,10,26,34,67,30,9,0,51,34,23,24,20,85,32,9,11,63,64,93,69,0,0,0,9,0,50,0,64,70,65,0,0,0,0,26,50,0,0,49,62,0,80,0,0,46,60,62,39,54,16,0,6,0,57,100,13,39,52,28,10,96,100,75,63,0,0,66,61,89,70,0,0,81,81,51,65,88,0,73,0,14,41,57,0,17,74,0,13,28,86,7,73,44,76,15,0,0,15,17,24,39,73,30,46,21,0,11,0,16,39,14,16,24,18,7,15,12,18,38,28,47,0,26,76,96,83,45,23,52,44,0,41,63,22,28,71,80,0,39,57,55,54,16,99,99,8,41,18,71,0,46,10,45,0,43
